codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
84110,92.3A,12,44.283333,5.033333
84110,92.3A,12,44.233333,5.066667
84110,92.3A,12,44.2,5.016667
84110,92.3A,12,44.266667,5.116667
84110,92.3A,12,"",""
84110,92.3A,12,44.183333,5
84110,92.3A,12,44.25,5.016667
84110,92.3A,12,44.216667,4.983333
84110,92.3A,12,44.266667,5.133333
84110,92.3A,12,44.266667,5.15
84110,92.3A,12,44.216667,5.083333
84110,92.3A,12,44.283333,5
84110,68.20A,24,44.283333,5.033333
84110,68.20A,24,44.233333,5.066667
84110,68.20A,24,44.2,5.016667
84110,68.20A,24,44.266667,5.116667
84110,68.20A,24,"",""
84110,68.20A,24,44.183333,5
84110,68.20A,24,44.25,5.016667
84110,68.20A,24,44.216667,4.983333
84110,68.20A,24,44.266667,5.133333
84110,68.20A,24,44.266667,5.15
84110,68.20A,24,44.216667,5.083333
84110,68.20A,24,44.283333,5
84110,81.29B,12,44.283333,5.033333
84110,81.29B,12,44.233333,5.066667
84110,81.29B,12,44.2,5.016667
84110,81.29B,12,44.266667,5.116667
84110,81.29B,12,"",""
84110,81.29B,12,44.183333,5
84110,81.29B,12,44.25,5.016667
84110,81.29B,12,44.216667,4.983333
84110,81.29B,12,44.266667,5.133333
84110,81.29B,12,44.266667,5.15
84110,81.29B,12,44.216667,5.083333
84110,81.29B,12,44.283333,5
84110,56.10C,24,44.283333,5.033333
84110,56.10C,24,44.233333,5.066667
84110,56.10C,24,44.2,5.016667
84110,56.10C,24,44.266667,5.116667
84110,56.10C,24,"",""
84110,56.10C,24,44.183333,5
84110,56.10C,24,44.25,5.016667
84110,56.10C,24,44.216667,4.983333
84110,56.10C,24,44.266667,5.133333
84110,56.10C,24,44.266667,5.15
84110,56.10C,24,44.216667,5.083333
84110,56.10C,24,44.283333,5
84110,84.11Z,36,44.283333,5.033333
84110,84.11Z,36,44.233333,5.066667
84110,84.11Z,36,44.2,5.016667
84110,84.11Z,36,44.266667,5.116667
84110,84.11Z,36,"",""
84110,84.11Z,36,44.183333,5
84110,84.11Z,36,44.25,5.016667
84110,84.11Z,36,44.216667,4.983333
84110,84.11Z,36,44.266667,5.133333
84110,84.11Z,36,44.266667,5.15
84110,84.11Z,36,44.216667,5.083333
84110,84.11Z,36,44.283333,5
84110,01.21Z,48,44.283333,5.033333
84110,01.21Z,48,44.233333,5.066667
84110,01.21Z,48,44.2,5.016667
84110,01.21Z,48,44.266667,5.116667
84110,01.21Z,48,"",""
84110,01.21Z,48,44.183333,5
84110,01.21Z,48,44.25,5.016667
84110,01.21Z,48,44.216667,4.983333
84110,01.21Z,48,44.266667,5.133333
84110,01.21Z,48,44.266667,5.15
84110,01.21Z,48,44.216667,5.083333
84110,01.21Z,48,44.283333,5
84110,93.12Z,12,44.283333,5.033333
84110,93.12Z,12,44.233333,5.066667
84110,93.12Z,12,44.2,5.016667
84110,93.12Z,12,44.266667,5.116667
84110,93.12Z,12,"",""
84110,93.12Z,12,44.183333,5
84110,93.12Z,12,44.25,5.016667
84110,93.12Z,12,44.216667,4.983333
84110,93.12Z,12,44.266667,5.133333
84110,93.12Z,12,44.266667,5.15
84110,93.12Z,12,44.216667,5.083333
84110,93.12Z,12,44.283333,5
84110,60.07,12,44.283333,5.033333
84110,60.07,12,44.233333,5.066667
84110,60.07,12,44.2,5.016667
84110,60.07,12,44.266667,5.116667
84110,60.07,12,"",""
84110,60.07,12,44.183333,5
84110,60.07,12,44.25,5.016667
84110,60.07,12,44.216667,4.983333
84110,60.07,12,44.266667,5.133333
84110,60.07,12,44.266667,5.15
84110,60.07,12,44.216667,5.083333
84110,60.07,12,44.283333,5
84110,01.25Z,24,44.283333,5.033333
84110,01.25Z,24,44.233333,5.066667
84110,01.25Z,24,44.2,5.016667
84110,01.25Z,24,44.266667,5.116667
84110,01.25Z,24,"",""
84110,01.25Z,24,44.183333,5
84110,01.25Z,24,44.25,5.016667
84110,01.25Z,24,44.216667,4.983333
84110,01.25Z,24,44.266667,5.133333
84110,01.25Z,24,44.266667,5.15
84110,01.25Z,24,44.216667,5.083333
84110,01.25Z,24,44.283333,5
84110,94.99Z,48,44.283333,5.033333
84110,94.99Z,48,44.233333,5.066667
84110,94.99Z,48,44.2,5.016667
84110,94.99Z,48,44.266667,5.116667
84110,94.99Z,48,"",""
84110,94.99Z,48,44.183333,5
84110,94.99Z,48,44.25,5.016667
84110,94.99Z,48,44.216667,4.983333
84110,94.99Z,48,44.266667,5.133333
84110,94.99Z,48,44.266667,5.15
84110,94.99Z,48,44.216667,5.083333
84110,94.99Z,48,44.283333,5
84110,01.1C,12,44.283333,5.033333
84110,01.1C,12,44.233333,5.066667
84110,01.1C,12,44.2,5.016667
84110,01.1C,12,44.266667,5.116667
84110,01.1C,12,"",""
84110,01.1C,12,44.183333,5
84110,01.1C,12,44.25,5.016667
84110,01.1C,12,44.216667,4.983333
84110,01.1C,12,44.266667,5.133333
84110,01.1C,12,44.266667,5.15
84110,01.1C,12,44.216667,5.083333
84110,01.1C,12,44.283333,5
84110,43.99C,12,44.283333,5.033333
84110,43.99C,12,44.233333,5.066667
84110,43.99C,12,44.2,5.016667
84110,43.99C,12,44.266667,5.116667
84110,43.99C,12,"",""
84110,43.99C,12,44.183333,5
84110,43.99C,12,44.25,5.016667
84110,43.99C,12,44.216667,4.983333
84110,43.99C,12,44.266667,5.133333
84110,43.99C,12,44.266667,5.15
84110,43.99C,12,44.216667,5.083333
84110,43.99C,12,44.283333,5
84110,96.04Z,24,44.283333,5.033333
84110,96.04Z,24,44.233333,5.066667
84110,96.04Z,24,44.2,5.016667
84110,96.04Z,24,44.266667,5.116667
84110,96.04Z,24,"",""
84110,96.04Z,24,44.183333,5
84110,96.04Z,24,44.25,5.016667
84110,96.04Z,24,44.216667,4.983333
84110,96.04Z,24,44.266667,5.133333
84110,96.04Z,24,44.266667,5.15
84110,96.04Z,24,44.216667,5.083333
84110,96.04Z,24,44.283333,5
84110,41.10D,12,44.283333,5.033333
84110,41.10D,12,44.233333,5.066667
84110,41.10D,12,44.2,5.016667
84110,41.10D,12,44.266667,5.116667
84110,41.10D,12,"",""
84110,41.10D,12,44.183333,5
84110,41.10D,12,44.25,5.016667
84110,41.10D,12,44.216667,4.983333
84110,41.10D,12,44.266667,5.133333
84110,41.10D,12,44.266667,5.15
84110,41.10D,12,44.216667,5.083333
84110,41.10D,12,44.283333,5
84110,64.25,12,44.283333,5.033333
84110,64.25,12,44.233333,5.066667
84110,64.25,12,44.2,5.016667
84110,64.25,12,44.266667,5.116667
84110,64.25,12,"",""
84110,64.25,12,44.183333,5
84110,64.25,12,44.25,5.016667
84110,64.25,12,44.216667,4.983333
84110,64.25,12,44.266667,5.133333
84110,64.25,12,44.266667,5.15
84110,64.25,12,44.216667,5.083333
84110,64.25,12,44.283333,5
84110,88.99B,12,44.283333,5.033333
84110,88.99B,12,44.233333,5.066667
84110,88.99B,12,44.2,5.016667
84110,88.99B,12,44.266667,5.116667
84110,88.99B,12,"",""
84110,88.99B,12,44.183333,5
84110,88.99B,12,44.25,5.016667
84110,88.99B,12,44.216667,4.983333
84110,88.99B,12,44.266667,5.133333
84110,88.99B,12,44.266667,5.15
84110,88.99B,12,44.216667,5.083333
84110,88.99B,12,44.283333,5
84110,18.13Z,12,44.283333,5.033333
84110,18.13Z,12,44.233333,5.066667
84110,18.13Z,12,44.2,5.016667
84110,18.13Z,12,44.266667,5.116667
84110,18.13Z,12,"",""
84110,18.13Z,12,44.183333,5
84110,18.13Z,12,44.25,5.016667
84110,18.13Z,12,44.216667,4.983333
84110,18.13Z,12,44.266667,5.133333
84110,18.13Z,12,44.266667,5.15
84110,18.13Z,12,44.216667,5.083333
84110,18.13Z,12,44.283333,5
84110,71.12B,24,44.283333,5.033333
84110,71.12B,24,44.233333,5.066667
84110,71.12B,24,44.2,5.016667
84110,71.12B,24,44.266667,5.116667
84110,71.12B,24,"",""
84110,71.12B,24,44.183333,5
84110,71.12B,24,44.25,5.016667
84110,71.12B,24,44.216667,4.983333
84110,71.12B,24,44.266667,5.133333
84110,71.12B,24,44.266667,5.15
84110,71.12B,24,44.216667,5.083333
84110,71.12B,24,44.283333,5
