codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
85100,47.99A,13,46.5,-1.783333
85100,70.3A,2,46.5,-1.783333
85100,55.3A,6,46.5,-1.783333
85100,43.22A,6,46.5,-1.783333
85100,41.10A,1,46.5,-1.783333
85100,02.10Z,1,46.5,-1.783333
85100,01.11Z,3,46.5,-1.783333
85100,47.79Z,2,46.5,-1.783333
85100,49.41A,2,46.5,-1.783333
85100,64.23,1,46.5,-1.783333
85100,95.29Z,2,46.5,-1.783333
85100,43.99A,1,46.5,-1.783333
85100,68.20A,30,46.5,-1.783333
85100,05.0A,3,46.5,-1.783333
85100,45.3E,1,46.5,-1.783333
85100,55.60,2,46.5,-1.783333
85100,56.30Z,2,46.5,-1.783333
85100,72.2Z,1,46.5,-1.783333
85100,36.00Z,1,46.5,-1.783333
85100,46.49Z,1,46.5,-1.783333
85100,50.2Z,1,46.5,-1.783333
85100,47.52A,1,46.5,-1.783333
85100,78.20Z,1,46.5,-1.783333
85100,43.34Z,6,46.5,-1.783333
85100,81.29B,1,46.5,-1.783333
85100,93.19Z,1,46.5,-1.783333
85100,93.0N,1,46.5,-1.783333
85100,64.20Z,6,46.5,-1.783333
85100,87.10A,2,46.5,-1.783333
85100,46.13Z,1,46.5,-1.783333
85100,86.90E,19,46.5,-1.783333
85100,90.01Z,4,46.5,-1.783333
85100,29.3C,1,46.5,-1.783333
85100,43.32B,1,46.5,-1.783333
85100,80.4C,1,46.5,-1.783333
85100,47.75Z,1,46.5,-1.783333
85100,77.12Z,2,46.5,-1.783333
85100,52.4R,1,46.5,-1.783333
85100,56.10C,8,46.5,-1.783333
85100,74.10Z,1,46.5,-1.783333
85100,82.11Z,1,46.5,-1.783333
85100,93.13Z,1,46.5,-1.783333
85100,81.30Z,10,46.5,-1.783333
85100,84.11Z,17,46.5,-1.783333
85100,42.21Z,1,46.5,-1.783333
85100,50.1Z,2,46.5,-1.783333
85100,25.2G,1,46.5,-1.783333
85100,33.3Z,1,46.5,-1.783333
85100,66.30Z,4,46.5,-1.783333
85100,55.2C,4,46.5,-1.783333
85100,95.22Z,2,46.5,-1.783333
85100,85.1G,2,46.5,-1.783333
85100,01.4A,2,46.5,-1.783333
85100,01.3Z,3,46.5,-1.783333
85100,55.20Z,1,46.5,-1.783333
85100,93.12Z,5,46.5,-1.783333
85100,94.11Z,1,46.5,-1.783333
85100,43.32A,11,46.5,-1.783333
85100,56.29B,5,46.5,-1.783333
85100,25.62B,1,46.5,-1.783333
85100,74.30Z,2,46.5,-1.783333
85100,79.11Z,1,46.5,-1.783333
85100,38.32Z,3,46.5,-1.783333
85100,47.11B,1,46.5,-1.783333
85100,45.2L,1,46.5,-1.783333
85100,65.06,3,46.5,-1.783333
85100,86.23Z,3,46.5,-1.783333
85100,55.4B,1,46.5,-1.783333
85100,67.13,1,46.5,-1.783333
85100,52.6E,3,46.5,-1.783333
85100,74.1J,3,46.5,-1.783333
85100,74.20Z,2,46.5,-1.783333
85100,56.10A,12,46.5,-1.783333
85100,64.30Z,1,46.5,-1.783333
85100,86.90D,11,46.5,-1.783333
85100,82.19Z,2,46.5,-1.783333
85100,96.02A,3,46.5,-1.783333
