codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
86110,47.99A,27,46.783333,0.1
86110,47.99A,27,46.783333,0.033333
86110,47.99A,27,46.833333,0.2
86110,47.99A,27,46.816667,0.166667
86110,47.99A,27,46.766667,0.2
86110,47.99A,27,46.766667,0.25
86110,47.99A,27,46.783333,0.183333
86110,47.99A,27,46.766667,0.1
86110,47.99A,27,46.783333,0.15
86110,33.20A,9,46.783333,0.1
86110,33.20A,9,46.783333,0.033333
86110,33.20A,9,46.833333,0.2
86110,33.20A,9,46.816667,0.166667
86110,33.20A,9,46.766667,0.2
86110,33.20A,9,46.766667,0.25
86110,33.20A,9,46.783333,0.183333
86110,33.20A,9,46.766667,0.1
86110,33.20A,9,46.783333,0.15
86110,55.3A,9,46.783333,0.1
86110,55.3A,9,46.783333,0.033333
86110,55.3A,9,46.833333,0.2
86110,55.3A,9,46.816667,0.166667
86110,55.3A,9,46.766667,0.2
86110,55.3A,9,46.766667,0.25
86110,55.3A,9,46.783333,0.183333
86110,55.3A,9,46.766667,0.1
86110,55.3A,9,46.783333,0.15
86110,47.04,9,46.783333,0.1
86110,47.04,9,46.783333,0.033333
86110,47.04,9,46.833333,0.2
86110,47.04,9,46.816667,0.166667
86110,47.04,9,46.766667,0.2
86110,47.04,9,46.766667,0.25
86110,47.04,9,46.783333,0.183333
86110,47.04,9,46.766667,0.1
86110,47.04,9,46.783333,0.15
86110,93.0D,9,46.783333,0.1
86110,93.0D,9,46.783333,0.033333
86110,93.0D,9,46.833333,0.2
86110,93.0D,9,46.816667,0.166667
86110,93.0D,9,46.766667,0.2
86110,93.0D,9,46.766667,0.25
86110,93.0D,9,46.783333,0.183333
86110,93.0D,9,46.766667,0.1
86110,93.0D,9,46.783333,0.15
86110,02.10Z,18,46.783333,0.1
86110,02.10Z,18,46.783333,0.033333
86110,02.10Z,18,46.833333,0.2
86110,02.10Z,18,46.816667,0.166667
86110,02.10Z,18,46.766667,0.2
86110,02.10Z,18,46.766667,0.25
86110,02.10Z,18,46.783333,0.183333
86110,02.10Z,18,46.766667,0.1
86110,02.10Z,18,46.783333,0.15
86110,01.11Z,144,46.783333,0.1
86110,01.11Z,144,46.783333,0.033333
86110,01.11Z,144,46.833333,0.2
86110,01.11Z,144,46.816667,0.166667
86110,01.11Z,144,46.766667,0.2
86110,01.11Z,144,46.766667,0.25
