codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
86170,64.11,12,46.716667,0.166667
86170,64.11,12,46.7,0.216667
86170,64.11,12,46.7,0.083333
86170,64.11,12,"46,69","0,25"
86170,64.11,12,46.75,0.083333
86170,64.11,12,46.733333,0.083333
86170,64.11,12,46.65,0.25
86170,64.11,12,46.716667,0.016667
86170,64.11,12,46.7,0.183333
86170,64.11,12,46.716667,0.15
86170,64.11,12,46.75,0.25
86170,64.11,12,46.666667,0.316667
86170,55.3A,12,46.716667,0.166667
86170,55.3A,12,46.7,0.216667
86170,55.3A,12,46.7,0.083333
86170,55.3A,12,"46,69","0,25"
86170,55.3A,12,46.75,0.083333
86170,55.3A,12,46.733333,0.083333
86170,55.3A,12,46.65,0.25
86170,55.3A,12,46.716667,0.016667
86170,55.3A,12,46.7,0.183333
86170,55.3A,12,46.716667,0.15
86170,55.3A,12,46.75,0.25
86170,55.3A,12,46.666667,0.316667
86170,43.22A,12,46.716667,0.166667
86170,43.22A,12,46.7,0.216667
86170,43.22A,12,46.7,0.083333
86170,43.22A,12,"46,69","0,25"
86170,43.22A,12,46.75,0.083333
86170,43.22A,12,46.733333,0.083333
86170,43.22A,12,46.65,0.25
86170,43.22A,12,46.716667,0.016667
86170,43.22A,12,46.7,0.183333
86170,43.22A,12,46.716667,0.15
86170,43.22A,12,46.75,0.25
86170,43.22A,12,46.666667,0.316667
86170,01.11Z,96,46.716667,0.166667
86170,01.11Z,96,46.7,0.216667
86170,01.11Z,96,46.7,0.083333
86170,01.11Z,96,"46,69","0,25"
86170,01.11Z,96,46.75,0.083333
86170,01.11Z,96,46.733333,0.083333
86170,01.11Z,96,46.65,0.25
86170,01.11Z,96,46.716667,0.016667
86170,01.11Z,96,46.7,0.183333
86170,01.11Z,96,46.716667,0.15
86170,01.11Z,96,46.75,0.25
86170,01.11Z,96,46.666667,0.316667
86170,47.79Z,12,46.716667,0.166667
86170,47.79Z,12,46.7,0.216667
86170,47.79Z,12,46.7,0.083333
86170,47.79Z,12,"46,69","0,25"
86170,47.79Z,12,46.75,0.083333
86170,47.79Z,12,46.733333,0.083333
86170,47.79Z,12,46.65,0.25
86170,47.79Z,12,46.716667,0.016667
86170,47.79Z,12,46.7,0.183333
86170,47.79Z,12,46.716667,0.15
86170,47.79Z,12,46.75,0.25
86170,47.79Z,12,46.666667,0.316667
86170,65.02,12,46.716667,0.166667
86170,65.02,12,46.7,0.216667
86170,65.02,12,46.7,0.083333
86170,65.02,12,"46,69","0,25"
86170,65.02,12,46.75,0.083333
86170,65.02,12,46.733333,0.083333
86170,65.02,12,46.65,0.25
86170,65.02,12,46.716667,0.016667
86170,65.02,12,46.7,0.183333
86170,65.02,12,46.716667,0.15
86170,65.02,12,46.75,0.25
86170,65.02,12,46.666667,0.316667
86170,64.49,24,46.716667,0.166667
86170,64.49,24,46.7,0.216667
86170,64.49,24,46.7,0.083333
86170,64.49,24,"46,69","0,25"
86170,64.49,24,46.75,0.083333
86170,64.49,24,46.733333,0.083333
86170,64.49,24,46.65,0.25
86170,64.49,24,46.716667,0.016667
86170,64.49,24,46.7,0.183333
86170,64.49,24,46.716667,0.15
86170,64.49,24,46.75,0.25
86170,64.49,24,46.666667,0.316667
86170,68.20A,72,46.716667,0.166667
86170,68.20A,72,46.7,0.216667
86170,68.20A,72,46.7,0.083333
86170,68.20A,72,"46,69","0,25"
86170,68.20A,72,46.75,0.083333
86170,68.20A,72,46.733333,0.083333
86170,68.20A,72,46.65,0.25
86170,68.20A,72,46.716667,0.016667
86170,68.20A,72,46.7,0.183333
86170,68.20A,72,46.716667,0.15
86170,68.20A,72,46.75,0.25
86170,68.20A,72,46.666667,0.316667
86170,55.60,24,46.716667,0.166667
86170,55.60,24,46.7,0.216667
86170,55.60,24,46.7,0.083333
86170,55.60,24,"46,69","0,25"
86170,55.60,24,46.75,0.083333
86170,55.60,24,46.733333,0.083333
86170,55.60,24,46.65,0.25
86170,55.60,24,46.716667,0.016667
86170,55.60,24,46.7,0.183333
