codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
88520,47.99A,6,48.25,7.116667
88520,47.99A,6,48.266667,7.05
88520,47.99A,6,48.216667,7.05
88520,47.99A,6,48.25,7.083333
88520,47.99A,6,48.266667,7.05
88520,47.99A,6,48.25,7.066667
88520,55.3A,12,48.25,7.116667
88520,55.3A,12,48.266667,7.05
88520,55.3A,12,48.216667,7.05
88520,55.3A,12,48.25,7.083333
88520,55.3A,12,48.266667,7.05
88520,55.3A,12,48.25,7.066667
88520,68.20A,18,48.25,7.116667
88520,68.20A,18,48.266667,7.05
88520,68.20A,18,48.216667,7.05
88520,68.20A,18,48.25,7.083333
88520,68.20A,18,48.266667,7.05
88520,68.20A,18,48.25,7.066667
88520,55.60,6,48.25,7.116667
88520,55.60,6,48.266667,7.05
88520,55.60,6,48.216667,7.05
88520,55.60,6,48.25,7.083333
88520,55.60,6,48.266667,7.05
88520,55.60,6,48.25,7.066667
88520,45.2J,12,48.25,7.116667
88520,45.2J,12,48.266667,7.05
88520,45.2J,12,48.216667,7.05
88520,45.2J,12,48.25,7.083333
88520,45.2J,12,48.266667,7.05
88520,45.2J,12,48.25,7.066667
88520,95.11Z,6,48.25,7.116667
88520,95.11Z,6,48.266667,7.05
88520,95.11Z,6,48.216667,7.05
88520,95.11Z,6,48.25,7.083333
88520,95.11Z,6,48.266667,7.05
88520,95.11Z,6,48.25,7.066667
88520,43.34Z,6,48.25,7.116667
88520,43.34Z,6,48.266667,7.05
88520,43.34Z,6,48.216667,7.05
88520,43.34Z,6,48.25,7.083333
88520,43.34Z,6,48.266667,7.05
88520,43.34Z,6,48.25,7.066667
88520,72.20Z,6,48.25,7.116667
88520,72.20Z,6,48.266667,7.05
88520,72.20Z,6,48.216667,7.05
88520,72.20Z,6,48.25,7.083333
88520,72.20Z,6,48.266667,7.05
88520,72.20Z,6,48.25,7.066667
88520,46.13Z,6,48.25,7.116667
88520,46.13Z,6,48.266667,7.05
88520,46.13Z,6,48.216667,7.05
88520,46.13Z,6,48.25,7.083333
88520,46.13Z,6,48.266667,7.05
88520,46.13Z,6,48.25,7.066667
88520,03.22Z,6,48.25,7.116667
88520,03.22Z,6,48.266667,7.05
88520,03.22Z,6,48.216667,7.05
88520,03.22Z,6,48.25,7.083333
88520,03.22Z,6,48.266667,7.05
88520,03.22Z,6,48.25,7.066667
88520,47.82Z,12,48.25,7.116667
88520,47.82Z,12,48.266667,7.05
88520,47.82Z,12,48.216667,7.05
88520,47.82Z,12,48.25,7.083333
88520,47.82Z,12,48.266667,7.05
88520,47.82Z,12,48.25,7.066667
88520,43.91A,6,48.25,7.116667
88520,43.91A,6,48.266667,7.05
88520,43.91A,6,48.216667,7.05
88520,43.91A,6,48.25,7.083333
88520,43.91A,6,48.266667,7.05
88520,43.91A,6,48.25,7.066667
88520,84.11Z,30,48.25,7.116667
88520,84.11Z,30,48.266667,7.05
88520,84.11Z,30,48.216667,7.05
88520,84.11Z,30,48.25,7.083333
88520,84.11Z,30,48.266667,7.05
88520,84.11Z,30,48.25,7.066667
88520,64.42,6,48.25,7.116667
88520,64.42,6,48.266667,7.05
88520,64.42,6,48.216667,7.05
88520,64.42,6,48.25,7.083333
88520,64.42,6,48.266667,7.05
88520,64.42,6,48.25,7.066667
88520,43.39Z,6,48.25,7.116667
88520,43.39Z,6,48.266667,7.05
88520,43.39Z,6,48.216667,7.05
88520,43.39Z,6,48.25,7.083333
88520,43.39Z,6,48.266667,7.05
88520,43.39Z,6,48.25,7.066667
88520,43.12B,6,48.25,7.116667
88520,43.12B,6,48.266667,7.05
88520,43.12B,6,48.216667,7.05
88520,43.12B,6,48.25,7.083333
88520,43.12B,6,48.266667,7.05
88520,43.12B,6,48.25,7.066667
88520,55.20Z,18,48.25,7.116667
88520,55.20Z,18,48.266667,7.05
88520,55.20Z,18,48.216667,7.05
88520,55.20Z,18,48.25,7.083333
88520,55.20Z,18,48.266667,7.05
88520,55.20Z,18,48.25,7.066667
88520,43.22B,6,48.25,7.116667
88520,43.22B,6,48.266667,7.05
88520,43.22B,6,48.216667,7.05
88520,43.22B,6,48.25,7.083333
88520,43.22B,6,48.266667,7.05
88520,43.22B,6,48.25,7.066667
88520,38.32Z,6,48.25,7.116667
88520,38.32Z,6,48.266667,7.05
88520,38.32Z,6,48.216667,7.05
88520,38.32Z,6,48.25,7.083333
88520,38.32Z,6,48.266667,7.05
88520,38.32Z,6,48.25,7.066667
88520,74.1J,18,48.25,7.116667
88520,74.1J,18,48.266667,7.05
88520,74.1J,18,48.216667,7.05
88520,74.1J,18,48.25,7.083333
88520,74.1J,18,48.266667,7.05
88520,74.1J,18,48.25,7.066667
88520,43.33Z,6,48.25,7.116667
88520,43.33Z,6,48.266667,7.05
88520,43.33Z,6,48.216667,7.05
88520,43.33Z,6,48.25,7.083333
88520,43.33Z,6,48.266667,7.05
88520,43.33Z,6,48.25,7.066667
88520,56.10A,18,48.25,7.116667
88520,56.10A,18,48.266667,7.05
88520,56.10A,18,48.216667,7.05
88520,56.10A,18,48.25,7.083333
88520,56.10A,18,48.266667,7.05
88520,56.10A,18,48.25,7.066667
88520,96.02A,6,48.25,7.116667
88520,96.02A,6,48.266667,7.05
88520,96.02A,6,48.216667,7.05
88520,96.02A,6,48.25,7.083333
88520,96.02A,6,48.266667,7.05
88520,96.02A,6,48.25,7.066667
88520,46.19B,6,48.25,7.116667
88520,46.19B,6,48.266667,7.05
88520,46.19B,6,48.216667,7.05
88520,46.19B,6,48.25,7.083333
88520,46.19B,6,48.266667,7.05
88520,46.19B,6,48.25,7.066667
88520,01.00,6,48.25,7.116667
88520,01.00,6,48.266667,7.05
88520,01.00,6,48.216667,7.05
88520,01.00,6,48.25,7.083333
88520,01.00,6,48.266667,7.05
88520,01.00,6,48.25,7.066667
88520,64.24,6,48.25,7.116667
88520,64.24,6,48.266667,7.05
88520,64.24,6,48.216667,7.05
88520,64.24,6,48.25,7.083333
88520,64.24,6,48.266667,7.05
88520,64.24,6,48.25,7.066667
88520,43.91B,12,48.25,7.116667
88520,43.91B,12,48.266667,7.05
88520,43.91B,12,48.216667,7.05
88520,43.91B,12,48.25,7.083333
88520,43.91B,12,48.266667,7.05
88520,43.91B,12,48.25,7.066667
88520,94.99Z,24,48.25,7.116667
88520,94.99Z,24,48.266667,7.05
88520,94.99Z,24,48.216667,7.05
88520,94.99Z,24,48.25,7.083333
88520,94.99Z,24,48.266667,7.05
88520,94.99Z,24,48.25,7.066667
88520,47.76Z,6,48.25,7.116667
88520,47.76Z,6,48.266667,7.05
88520,47.76Z,6,48.216667,7.05
88520,47.76Z,6,48.25,7.083333
88520,47.76Z,6,48.266667,7.05
88520,47.76Z,6,48.25,7.066667
88520,02.20,18,48.25,7.116667
88520,02.20,18,48.266667,7.05
88520,02.20,18,48.216667,7.05
88520,02.20,18,48.25,7.083333
88520,02.20,18,48.266667,7.05
88520,02.20,18,48.25,7.066667
88520,74.7Z,6,48.25,7.116667
88520,74.7Z,6,48.266667,7.05
88520,74.7Z,6,48.216667,7.05
88520,74.7Z,6,48.25,7.083333
88520,74.7Z,6,48.266667,7.05
88520,74.7Z,6,48.25,7.066667
88520,47.64Z,6,48.25,7.116667
88520,47.64Z,6,48.266667,7.05
88520,47.64Z,6,48.216667,7.05
88520,47.64Z,6,48.25,7.083333
88520,47.64Z,6,48.266667,7.05
88520,47.64Z,6,48.25,7.066667
88520,72.3Z,6,48.25,7.116667
88520,72.3Z,6,48.266667,7.05
88520,72.3Z,6,48.216667,7.05
88520,72.3Z,6,48.25,7.083333
88520,72.3Z,6,48.266667,7.05
88520,72.3Z,6,48.25,7.066667
88520,62.01Z,12,48.25,7.116667
88520,62.01Z,12,48.266667,7.05
88520,62.01Z,12,48.216667,7.05
88520,62.01Z,12,48.25,7.083333
88520,62.01Z,12,48.266667,7.05
88520,62.01Z,12,48.25,7.066667
88520,42.99Z,6,48.25,7.116667
88520,42.99Z,6,48.266667,7.05
88520,42.99Z,6,48.216667,7.05
88520,42.99Z,6,48.25,7.083333
88520,42.99Z,6,48.266667,7.05
88520,42.99Z,6,48.25,7.066667
88520,62.41,6,48.25,7.116667
88520,62.41,6,48.266667,7.05
88520,62.41,6,48.216667,7.05
88520,62.41,6,48.25,7.083333
