codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
89130,47.99A,64,47.783333,3.216667
89130,47.99A,64,47.733333,3.3
89130,47.99A,64,47.716667,3.333333
89130,47.99A,64,47.7,3.166667
89130,47.99A,64,47.683333,3.383333
89130,47.99A,64,47.683333,3.316667
89130,47.99A,64,47.7,3.266667
89130,47.99A,64,47.758333,3.25
89130,58.19Z,8,47.783333,3.216667
89130,58.19Z,8,47.733333,3.3
89130,58.19Z,8,47.716667,3.333333
89130,58.19Z,8,47.7,3.166667
89130,58.19Z,8,47.683333,3.383333
89130,58.19Z,8,47.683333,3.316667
89130,58.19Z,8,47.7,3.266667
89130,58.19Z,8,47.758333,3.25
89130,64.11,8,47.783333,3.216667
89130,64.11,8,47.733333,3.3
89130,64.11,8,47.716667,3.333333
89130,64.11,8,47.7,3.166667
89130,64.11,8,47.683333,3.383333
89130,64.11,8,47.683333,3.316667
89130,64.11,8,47.7,3.266667
89130,64.11,8,47.758333,3.25
89130,63.99Z,8,47.783333,3.216667
89130,63.99Z,8,47.733333,3.3
89130,63.99Z,8,47.716667,3.333333
89130,63.99Z,8,47.7,3.166667
89130,63.99Z,8,47.683333,3.383333
89130,63.99Z,8,47.683333,3.316667
89130,63.99Z,8,47.7,3.266667
89130,63.99Z,8,47.758333,3.25
89130,70.3A,8,47.783333,3.216667
89130,70.3A,8,47.733333,3.3
89130,70.3A,8,47.716667,3.333333
89130,70.3A,8,47.7,3.166667
89130,70.3A,8,47.683333,3.383333
89130,70.3A,8,47.683333,3.316667
89130,70.3A,8,47.7,3.266667
89130,70.3A,8,47.758333,3.25
89130,55.3A,8,47.783333,3.216667
89130,55.3A,8,47.733333,3.3
89130,55.3A,8,47.716667,3.333333
89130,55.3A,8,47.7,3.166667
89130,55.3A,8,47.683333,3.383333
89130,55.3A,8,47.683333,3.316667
89130,55.3A,8,47.7,3.266667
89130,55.3A,8,47.758333,3.25
89130,43.22A,16,47.783333,3.216667
89130,43.22A,16,47.733333,3.3
89130,43.22A,16,47.716667,3.333333
89130,43.22A,16,47.7,3.166667
89130,43.22A,16,47.683333,3.383333
89130,43.22A,16,47.683333,3.316667
89130,43.22A,16,47.7,3.266667
89130,43.22A,16,47.758333,3.25
89130,31.01Z,8,47.783333,3.216667
89130,31.01Z,8,47.733333,3.3
89130,31.01Z,8,47.716667,3.333333
89130,31.01Z,8,47.7,3.166667
89130,31.01Z,8,47.683333,3.383333
89130,31.01Z,8,47.683333,3.316667
89130,31.01Z,8,47.7,3.266667
89130,31.01Z,8,47.758333,3.25
89130,41.10A,8,47.783333,3.216667
89130,41.10A,8,47.733333,3.3
89130,41.10A,8,47.716667,3.333333
89130,41.10A,8,47.7,3.166667
89130,41.10A,8,47.683333,3.383333
89130,41.10A,8,47.683333,3.316667
89130,41.10A,8,47.7,3.266667
89130,41.10A,8,47.758333,3.25
89130,02.10Z,8,47.783333,3.216667
89130,02.10Z,8,47.733333,3.3
89130,02.10Z,8,47.716667,3.333333
89130,02.10Z,8,47.7,3.166667
89130,02.10Z,8,47.683333,3.383333
89130,02.10Z,8,47.683333,3.316667
