codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
89210,47.99A,14,48.033333,3.716667
89210,47.99A,14,48.033333,3.566667
89210,47.99A,14,48.033333,3.633333
89210,47.99A,14,47.983333,3.583333
89210,47.99A,14,48.033333,3.666667
89210,47.99A,14,48,3.616667
89210,47.99A,14,48.05,3.6
89210,70.3A,7,48.033333,3.716667
89210,70.3A,7,48.033333,3.566667
89210,70.3A,7,48.033333,3.633333
89210,70.3A,7,47.983333,3.583333
89210,70.3A,7,48.033333,3.666667
89210,70.3A,7,48,3.616667
89210,70.3A,7,48.05,3.6
89210,01.11Z,119,48.033333,3.716667
89210,01.11Z,119,48.033333,3.566667
89210,01.11Z,119,48.033333,3.633333
89210,01.11Z,119,47.983333,3.583333
89210,01.11Z,119,48.033333,3.666667
89210,01.11Z,119,48,3.616667
89210,01.11Z,119,48.05,3.6
89210,32.99Z,7,48.033333,3.716667
89210,32.99Z,7,48.033333,3.566667
89210,32.99Z,7,48.033333,3.633333
89210,32.99Z,7,47.983333,3.583333
89210,32.99Z,7,48.033333,3.666667
89210,32.99Z,7,48,3.616667
89210,32.99Z,7,48.05,3.6
89210,64.20Z,7,48.033333,3.716667
89210,64.20Z,7,48.033333,3.566667
89210,64.20Z,7,48.033333,3.633333
89210,64.20Z,7,47.983333,3.583333
89210,64.20Z,7,48.033333,3.666667
89210,64.20Z,7,48,3.616667
89210,64.20Z,7,48.05,3.6
89210,90.01Z,7,48.033333,3.716667
89210,90.01Z,7,48.033333,3.566667
89210,90.01Z,7,48.033333,3.633333
89210,90.01Z,7,47.983333,3.583333
89210,90.01Z,7,48.033333,3.666667
89210,90.01Z,7,48,3.616667
89210,90.01Z,7,48.05,3.6
89210,86.90E,14,48.033333,3.716667
89210,86.90E,14,48.033333,3.566667
89210,86.90E,14,48.033333,3.633333
89210,86.90E,14,47.983333,3.583333
89210,86.90E,14,48.033333,3.666667
89210,86.90E,14,48,3.616667
89210,86.90E,14,48.05,3.6
89210,84.11Z,7,48.033333,3.716667
89210,84.11Z,7,48.033333,3.566667
89210,84.11Z,7,48.033333,3.633333
89210,84.11Z,7,47.983333,3.583333
89210,84.11Z,7,48.033333,3.666667
89210,84.11Z,7,48,3.616667
89210,84.11Z,7,48.05,3.6
89210,01.3Z,21,48.033333,3.716667
89210,01.3Z,21,48.033333,3.566667
89210,01.3Z,21,48.033333,3.633333
89210,01.3Z,21,47.983333,3.583333
89210,01.3Z,21,48.033333,3.666667
89210,01.3Z,21,48,3.616667
89210,01.3Z,21,48.05,3.6
89210,72.19Z,7,48.033333,3.716667
89210,72.19Z,7,48.033333,3.566667
89210,72.19Z,7,48.033333,3.633333
89210,72.19Z,7,47.983333,3.583333
89210,72.19Z,7,48.033333,3.666667
89210,72.19Z,7,48,3.616667
