codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
89250,01.11Z,24,47.9,3.6
89250,01.11Z,24,47.95,3.633333
89250,01.11Z,24,47.933333,3.6
89250,01.11Z,24,47.866667,3.566667
89250,01.11Z,24,47.9,3.566667
89250,01.11Z,24,47.916667,3.566667
89250,56.21Z,6,47.9,3.6
89250,56.21Z,6,47.95,3.633333
89250,56.21Z,6,47.933333,3.6
89250,56.21Z,6,47.866667,3.566667
89250,56.21Z,6,47.9,3.566667
89250,56.21Z,6,47.916667,3.566667
89250,01.47Z,12,47.9,3.6
89250,01.47Z,12,47.95,3.633333
89250,01.47Z,12,47.933333,3.6
89250,01.47Z,12,47.866667,3.566667
89250,01.47Z,12,47.9,3.566667
89250,01.47Z,12,47.916667,3.566667
89250,54.08,30,47.9,3.6
89250,54.08,30,47.95,3.633333
89250,54.08,30,47.933333,3.6
89250,54.08,30,47.866667,3.566667
89250,54.08,30,47.9,3.566667
89250,54.08,30,47.916667,3.566667
89250,01.43Z,24,47.9,3.6
89250,01.43Z,24,47.95,3.633333
89250,01.43Z,24,47.933333,3.6
89250,01.43Z,24,47.866667,3.566667
89250,01.43Z,24,47.9,3.566667
89250,01.43Z,24,47.916667,3.566667
89250,86.90E,12,47.9,3.6
89250,86.90E,12,47.95,3.633333
89250,86.90E,12,47.933333,3.6
89250,86.90E,12,47.866667,3.566667
89250,86.90E,12,47.9,3.566667
89250,86.90E,12,47.916667,3.566667
89250,38.11Z,6,47.9,3.6
89250,38.11Z,6,47.95,3.633333
89250,38.11Z,6,47.933333,3.6
89250,38.11Z,6,47.866667,3.566667
89250,38.11Z,6,47.9,3.566667
89250,38.11Z,6,47.916667,3.566667
89250,84.11Z,12,47.9,3.6
89250,84.11Z,12,47.95,3.633333
89250,84.11Z,12,47.933333,3.6
89250,84.11Z,12,47.866667,3.566667
89250,84.11Z,12,47.9,3.566667
89250,84.11Z,12,47.916667,3.566667
89250,01.3Z,6,47.9,3.6
89250,01.3Z,6,47.95,3.633333
89250,01.3Z,6,47.933333,3.6
