codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
89360,47.99A,8,47.933333,3.816667
89360,47.99A,8,47.966667,3.833333
89360,47.99A,8,47.966667,3.783333
89360,47.99A,8,"",""
89360,47.99A,8,47.9,3.866667
89360,47.99A,8,47.916667,3.85
89360,47.99A,8,47.966667,3.816667
89360,47.99A,8,47.9,3.9
89360,70.3A,8,47.933333,3.816667
89360,70.3A,8,47.966667,3.833333
89360,70.3A,8,47.966667,3.783333
89360,70.3A,8,"",""
89360,70.3A,8,47.9,3.866667
89360,70.3A,8,47.916667,3.85
89360,70.3A,8,47.966667,3.816667
89360,70.3A,8,47.9,3.9
89360,01.11Z,40,47.933333,3.816667
89360,01.11Z,40,47.966667,3.833333
89360,01.11Z,40,47.966667,3.783333
89360,01.11Z,40,"",""
89360,01.11Z,40,47.9,3.866667
89360,01.11Z,40,47.916667,3.85
89360,01.11Z,40,47.966667,3.816667
89360,01.11Z,40,47.9,3.9
89360,92.3A,8,47.933333,3.816667
89360,92.3A,8,47.966667,3.833333
89360,92.3A,8,47.966667,3.783333
89360,92.3A,8,"",""
89360,92.3A,8,47.9,3.866667
89360,92.3A,8,47.916667,3.85
89360,92.3A,8,47.966667,3.816667
89360,92.3A,8,47.9,3.9
89360,95.29Z,8,47.933333,3.816667
89360,95.29Z,8,47.966667,3.833333
89360,95.29Z,8,47.966667,3.783333
89360,95.29Z,8,"",""
89360,95.29Z,8,47.9,3.866667
89360,95.29Z,8,47.916667,3.85
89360,95.29Z,8,47.966667,3.816667
89360,95.29Z,8,47.9,3.9
89360,68.20A,16,47.933333,3.816667
89360,68.20A,16,47.966667,3.833333
89360,68.20A,16,47.966667,3.783333
89360,68.20A,16,"",""
89360,68.20A,16,47.9,3.866667
89360,68.20A,16,47.916667,3.85
89360,68.20A,16,47.966667,3.816667
89360,68.20A,16,47.9,3.9
89360,56.30Z,8,47.933333,3.816667
89360,56.30Z,8,47.966667,3.833333
89360,56.30Z,8,47.966667,3.783333
89360,56.30Z,8,"",""
89360,56.30Z,8,47.9,3.866667
89360,56.30Z,8,47.916667,3.85
89360,56.30Z,8,47.966667,3.816667
89360,56.30Z,8,47.9,3.9
89360,52.21Z,8,47.933333,3.816667
89360,52.21Z,8,47.966667,3.833333
89360,52.21Z,8,47.966667,3.783333
89360,52.21Z,8,"",""
89360,52.21Z,8,47.9,3.866667
89360,52.21Z,8,47.916667,3.85
89360,52.21Z,8,47.966667,3.816667
89360,52.21Z,8,47.9,3.9
89360,85.1C,8,47.933333,3.816667
89360,85.1C,8,47.966667,3.833333
89360,85.1C,8,47.966667,3.783333
89360,85.1C,8,"",""
89360,85.1C,8,47.9,3.866667
89360,85.1C,8,47.916667,3.85
89360,85.1C,8,47.966667,3.816667
89360,85.1C,8,47.9,3.9
89360,73.20Z,8,47.933333,3.816667
89360,73.20Z,8,47.966667,3.833333
89360,73.20Z,8,47.966667,3.783333
89360,73.20Z,8,"",""
89360,73.20Z,8,47.9,3.866667
89360,73.20Z,8,47.916667,3.85
89360,73.20Z,8,47.966667,3.816667
89360,73.20Z,8,47.9,3.9
89360,43.34Z,8,47.933333,3.816667
89360,43.34Z,8,47.966667,3.833333
89360,43.34Z,8,47.966667,3.783333
89360,43.34Z,8,"",""
89360,43.34Z,8,47.9,3.866667
89360,43.34Z,8,47.916667,3.85
89360,43.34Z,8,47.966667,3.816667
89360,43.34Z,8,47.9,3.9
89360,90.01Z,8,47.933333,3.816667
89360,90.01Z,8,47.966667,3.833333
89360,90.01Z,8,47.966667,3.783333
89360,90.01Z,8,"",""
89360,90.01Z,8,47.9,3.866667
89360,90.01Z,8,47.916667,3.85
89360,90.01Z,8,47.966667,3.816667
89360,90.01Z,8,47.9,3.9
89360,80.4C,8,47.933333,3.816667
89360,80.4C,8,47.966667,3.833333
89360,80.4C,8,47.966667,3.783333
89360,80.4C,8,"",""
89360,80.4C,8,47.9,3.866667
89360,80.4C,8,47.916667,3.85
89360,80.4C,8,47.966667,3.816667
89360,80.4C,8,47.9,3.9
89360,94.91Z,8,47.933333,3.816667
89360,94.91Z,8,47.966667,3.833333
89360,94.91Z,8,47.966667,3.783333
89360,94.91Z,8,"",""
89360,94.91Z,8,47.9,3.866667
89360,94.91Z,8,47.916667,3.85
89360,94.91Z,8,47.966667,3.816667
89360,94.91Z,8,47.9,3.9
89360,43.91A,8,47.933333,3.816667
89360,43.91A,8,47.966667,3.833333
89360,43.91A,8,47.966667,3.783333
89360,43.91A,8,"",""
89360,43.91A,8,47.9,3.866667
89360,43.91A,8,47.916667,3.85
89360,43.91A,8,47.966667,3.816667
89360,43.91A,8,47.9,3.9
89360,84.11Z,24,47.933333,3.816667
89360,84.11Z,24,47.966667,3.833333
89360,84.11Z,24,47.966667,3.783333
89360,84.11Z,24,"",""
89360,84.11Z,24,47.9,3.866667
89360,84.11Z,24,47.916667,3.85
89360,84.11Z,24,47.966667,3.816667
89360,84.11Z,24,47.9,3.9
89360,90.0A,8,47.933333,3.816667
89360,90.0A,8,47.966667,3.833333
89360,90.0A,8,47.966667,3.783333
89360,90.0A,8,"",""
89360,90.0A,8,47.9,3.866667
89360,90.0A,8,47.916667,3.85
89360,90.0A,8,47.966667,3.816667
89360,90.0A,8,47.9,3.9
89360,01.21Z,8,47.933333,3.816667
89360,01.21Z,8,47.966667,3.833333
89360,01.21Z,8,47.966667,3.783333
89360,01.21Z,8,"",""
89360,01.21Z,8,47.9,3.866667
89360,01.21Z,8,47.916667,3.85
89360,01.21Z,8,47.966667,3.816667
89360,01.21Z,8,47.9,3.9
89360,85.1G,8,47.933333,3.816667
89360,85.1G,8,47.966667,3.833333
89360,85.1G,8,47.966667,3.783333
89360,85.1G,8,"",""
89360,85.1G,8,47.9,3.866667
89360,85.1G,8,47.916667,3.85
89360,85.1G,8,47.966667,3.816667
89360,85.1G,8,47.9,3.9
89360,93.12Z,8,47.933333,3.816667
89360,93.12Z,8,47.966667,3.833333
89360,93.12Z,8,47.966667,3.783333
89360,93.12Z,8,"",""
89360,93.12Z,8,47.9,3.866667
89360,93.12Z,8,47.916667,3.85
89360,93.12Z,8,47.966667,3.816667
89360,93.12Z,8,47.9,3.9
89360,43.32A,16,47.933333,3.816667
89360,43.32A,16,47.966667,3.833333
89360,43.32A,16,47.966667,3.783333
