codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
89430,47.99A,18,47.933333,4.133333
89430,47.99A,18,"",""
89430,47.99A,18,47.833333,4.083333
89430,47.99A,18,47.9,4.15
89430,47.99A,18,47.916667,4.066667
89430,47.99A,18,47.85,4.133333
89430,55.3A,6,47.933333,4.133333
89430,55.3A,6,"",""
89430,55.3A,6,47.833333,4.083333
89430,55.3A,6,47.9,4.15
89430,55.3A,6,47.916667,4.066667
89430,55.3A,6,47.85,4.133333
89430,43.22A,12,47.933333,4.133333
89430,43.22A,12,"",""
89430,43.22A,12,47.833333,4.083333
89430,43.22A,12,47.9,4.15
89430,43.22A,12,47.916667,4.066667
89430,43.22A,12,47.85,4.133333
89430,93.0D,6,47.933333,4.133333
89430,93.0D,6,"",""
89430,93.0D,6,47.833333,4.083333
89430,93.0D,6,47.9,4.15
89430,93.0D,6,47.916667,4.066667
89430,93.0D,6,47.85,4.133333
89430,01.11Z,30,47.933333,4.133333
89430,01.11Z,30,"",""
89430,01.11Z,30,47.833333,4.083333
89430,01.11Z,30,47.9,4.15
89430,01.11Z,30,47.916667,4.066667
89430,01.11Z,30,47.85,4.133333
89430,55.60,6,47.933333,4.133333
89430,55.60,6,"",""
89430,55.60,6,47.833333,4.083333
89430,55.60,6,47.9,4.15
89430,55.60,6,47.916667,4.066667
89430,55.60,6,47.85,4.133333
89430,56.30Z,12,47.933333,4.133333
89430,56.30Z,12,"",""
89430,56.30Z,12,47.833333,4.083333
89430,56.30Z,12,47.9,4.15
89430,56.30Z,12,47.916667,4.066667
89430,56.30Z,12,47.85,4.133333
89430,50.2Z,6,47.933333,4.133333
89430,50.2Z,6,"",""
89430,50.2Z,6,47.833333,4.083333
89430,50.2Z,6,47.9,4.15
89430,50.2Z,6,47.916667,4.066667
89430,50.2Z,6,47.85,4.133333
89430,43.34Z,6,47.933333,4.133333
89430,43.34Z,6,"",""
89430,43.34Z,6,47.833333,4.083333
89430,43.34Z,6,47.9,4.15
89430,43.34Z,6,47.916667,4.066667
89430,43.34Z,6,47.85,4.133333
89430,56.10C,6,47.933333,4.133333
89430,56.10C,6,"",""
89430,56.10C,6,47.833333,4.083333
89430,56.10C,6,47.9,4.15
89430,56.10C,6,47.916667,4.066667
89430,56.10C,6,47.85,4.133333
89430,84.11Z,18,47.933333,4.133333
89430,84.11Z,18,"",""
89430,84.11Z,18,47.833333,4.083333
89430,84.11Z,18,47.9,4.15
89430,84.11Z,18,47.916667,4.066667
89430,84.11Z,18,47.85,4.133333
89430,90.0A,6,47.933333,4.133333
89430,90.0A,6,"",""
89430,90.0A,6,47.833333,4.083333
89430,90.0A,6,47.9,4.15
89430,90.0A,6,47.916667,4.066667
89430,90.0A,6,47.85,4.133333
89430,01.21Z,12,47.933333,4.133333
89430,01.21Z,12,"",""
89430,01.21Z,12,47.833333,4.083333
89430,01.21Z,12,47.9,4.15
89430,01.21Z,12,47.916667,4.066667
89430,01.21Z,12,47.85,4.133333
89430,01.3Z,6,47.933333,4.133333
89430,01.3Z,6,"",""
89430,01.3Z,6,47.833333,4.083333
89430,01.3Z,6,47.9,4.15
89430,01.3Z,6,47.916667,4.066667
89430,01.3Z,6,47.85,4.133333
89430,43.22B,18,47.933333,4.133333
89430,43.22B,18,"",""
89430,43.22B,18,47.833333,4.083333
89430,43.22B,18,47.9,4.15
89430,43.22B,18,47.916667,4.066667
89430,43.22B,18,47.85,4.133333
89430,93.12Z,6,47.933333,4.133333
89430,93.12Z,6,"",""
89430,93.12Z,6,47.833333,4.083333
89430,93.12Z,6,47.9,4.15
89430,93.12Z,6,47.916667,4.066667
89430,93.12Z,6,47.85,4.133333
89430,43.32A,6,47.933333,4.133333
89430,43.32A,6,"",""
89430,43.32A,6,47.833333,4.083333
89430,43.32A,6,47.9,4.15
89430,43.32A,6,47.916667,4.066667
89430,43.32A,6,47.85,4.133333
89430,21.11,6,47.933333,4.133333
89430,21.11,6,"",""
89430,21.11,6,47.833333,4.083333
89430,21.11,6,47.9,4.15
89430,21.11,6,47.916667,4.066667
89430,21.11,6,47.85,4.133333
89430,38.32Z,12,47.933333,4.133333
89430,38.32Z,12,"",""
89430,38.32Z,12,47.833333,4.083333
89430,38.32Z,12,47.9,4.15
89430,38.32Z,12,47.916667,4.066667
89430,38.32Z,12,47.85,4.133333
89430,55.4B,12,47.933333,4.133333
89430,55.4B,12,"",""
89430,55.4B,12,47.833333,4.083333
89430,55.4B,12,47.9,4.15
89430,55.4B,12,47.916667,4.066667
89430,55.4B,12,47.85,4.133333
89430,74.20Z,6,47.933333,4.133333
89430,74.20Z,6,"",""
89430,74.20Z,6,47.833333,4.083333
89430,74.20Z,6,47.9,4.15
89430,74.20Z,6,47.916667,4.066667
89430,74.20Z,6,47.85,4.133333
89430,56.10A,18,47.933333,4.133333
89430,56.10A,18,"",""
89430,56.10A,18,47.833333,4.083333
89430,56.10A,18,47.9,4.15
89430,56.10A,18,47.916667,4.066667
89430,56.10A,18,47.85,4.133333
89430,43.91B,6,47.933333,4.133333
89430,43.91B,6,"",""
89430,43.91B,6,47.833333,4.083333
89430,43.91B,6,47.9,4.15
89430,43.91B,6,47.916667,4.066667
89430,43.91B,6,47.85,4.133333
89430,94.99Z,12,47.933333,4.133333
89430,94.99Z,12,"",""
89430,94.99Z,12,47.833333,4.083333
89430,94.99Z,12,47.9,4.15
89430,94.99Z,12,47.916667,4.066667
89430,94.99Z,12,47.85,4.133333
89430,47.76Z,6,47.933333,4.133333
89430,47.76Z,6,"",""
89430,47.76Z,6,47.833333,4.083333
89430,47.76Z,6,47.9,4.15
89430,47.76Z,6,47.916667,4.066667
89430,47.76Z,6,47.85,4.133333
89430,42.99Z,6,47.933333,4.133333
89430,42.99Z,6,"",""
89430,42.99Z,6,47.833333,4.083333
89430,42.99Z,6,47.9,4.15
89430,42.99Z,6,47.916667,4.066667
89430,42.99Z,6,47.85,4.133333
89430,01.50Z,18,47.933333,4.133333
89430,01.50Z,18,"",""
89430,01.50Z,18,47.833333,4.083333
89430,01.50Z,18,47.9,4.15
89430,01.50Z,18,47.916667,4.066667
89430,01.50Z,18,47.85,4.133333
89430,45.4C,6,47.933333,4.133333
89430,45.4C,6,"",""
89430,45.4C,6,47.833333,4.083333
89430,45.4C,6,47.9,4.15
89430,45.4C,6,47.916667,4.066667
89430,45.4C,6,47.85,4.133333
89430,95.24Z,6,47.933333,4.133333
89430,95.24Z,6,"",""
89430,95.24Z,6,47.833333,4.083333
89430,95.24Z,6,47.9,4.15
89430,95.24Z,6,47.916667,4.066667
89430,95.24Z,6,47.85,4.133333
89430,67.07,12,47.933333,4.133333
89430,67.07,12,"",""
89430,67.07,12,47.833333,4.083333
89430,67.07,12,47.9,4.15
89430,67.07,12,47.916667,4.066667
89430,67.07,12,47.85,4.133333
89430,96.02B,6,47.933333,4.133333
89430,96.02B,6,"",""
89430,96.02B,6,47.833333,4.083333
89430,96.02B,6,47.9,4.15
89430,96.02B,6,47.916667,4.066667
89430,96.02B,6,47.85,4.133333
89430,71.11Z,6,47.933333,4.133333
89430,71.11Z,6,"",""
89430,71.11Z,6,47.833333,4.083333
89430,71.11Z,6,47.9,4.15
89430,71.11Z,6,47.916667,4.066667
89430,71.11Z,6,47.85,4.133333
89430,43.99C,18,47.933333,4.133333
89430,43.99C,18,"",""
89430,43.99C,18,47.833333,4.083333
89430,43.99C,18,47.9,4.15
89430,43.99C,18,47.916667,4.066667
89430,43.99C,18,47.85,4.133333
89430,01.61Z,12,47.933333,4.133333
89430,01.61Z,12,"",""
89430,01.61Z,12,47.833333,4.083333
89430,01.61Z,12,47.9,4.15
89430,01.61Z,12,47.916667,4.066667
89430,01.61Z,12,47.85,4.133333
89430,45.20A,12,47.933333,4.133333
89430,45.20A,12,"",""
89430,45.20A,12,47.833333,4.083333
89430,45.20A,12,47.9,4.15
89430,45.20A,12,47.916667,4.066667
89430,45.20A,12,47.85,4.133333
89430,81.21Z,6,47.933333,4.133333
89430,81.21Z,6,"",""
89430,81.21Z,6,47.833333,4.083333
89430,81.21Z,6,47.9,4.15
89430,81.21Z,6,47.916667,4.066667
89430,81.21Z,6,47.85,4.133333
89430,45.11Z,6,47.933333,4.133333
89430,45.11Z,6,"",""
89430,45.11Z,6,47.833333,4.083333
89430,45.11Z,6,47.9,4.15
89430,45.11Z,6,47.916667,4.066667
89430,45.11Z,6,47.85,4.133333
89430,01.1A,12,47.933333,4.133333
89430,01.1A,12,"",""
89430,01.1A,12,47.833333,4.083333
89430,01.1A,12,47.9,4.15
89430,01.1A,12,47.916667,4.066667
89430,01.1A,12,47.85,4.133333
89430,90.02Z,6,47.933333,4.133333
89430,90.02Z,6,"",""
89430,90.02Z,6,47.833333,4.083333
89430,90.02Z,6,47.9,4.15
89430,90.02Z,6,47.916667,4.066667
89430,90.02Z,6,47.85,4.133333
89430,64.25,6,47.933333,4.133333
89430,64.25,6,"",""
89430,64.25,6,47.833333,4.083333
89430,64.25,6,47.9,4.15
89430,64.25,6,47.916667,4.066667
89430,64.25,6,47.85,4.133333
89430,62.46,6,47.933333,4.133333
89430,62.46,6,"",""
89430,62.46,6,47.833333,4.083333
89430,62.46,6,47.9,4.15
89430,62.46,6,47.916667,4.066667
89430,62.46,6,47.85,4.133333
89430,75.00Z,12,47.933333,4.133333
89430,75.00Z,12,"",""
89430,75.00Z,12,47.833333,4.083333
89430,75.00Z,12,47.9,4.15
89430,75.00Z,12,47.916667,4.066667
89430,75.00Z,12,47.85,4.133333
89430,88.99B,6,47.933333,4.133333
89430,88.99B,6,"",""
89430,88.99B,6,47.833333,4.083333
89430,88.99B,6,47.9,4.15
89430,88.99B,6,47.916667,4.066667
89430,88.99B,6,47.85,4.133333
89430,45.2V,6,47.933333,4.133333
89430,45.2V,6,"",""
89430,45.2V,6,47.833333,4.083333
89430,45.2V,6,47.9,4.15
89430,45.2V,6,47.916667,4.066667
89430,45.2V,6,47.85,4.133333
89430,43.21A,6,47.933333,4.133333
89430,43.21A,6,"",""
89430,43.21A,6,47.833333,4.083333
89430,43.21A,6,47.9,4.15
89430,43.21A,6,47.916667,4.066667
89430,43.21A,6,47.85,4.133333
89430,25.50A,6,47.933333,4.133333
89430,25.50A,6,"",""
89430,25.50A,6,47.833333,4.083333
89430,25.50A,6,47.9,4.15
89430,25.50A,6,47.916667,4.066667
89430,25.50A,6,47.85,4.133333
89430,68.20B,78,47.933333,4.133333
89430,68.20B,78,"",""
89430,68.20B,78,47.833333,4.083333
89430,68.20B,78,47.9,4.15
89430,68.20B,78,47.916667,4.066667
89430,68.20B,78,47.85,4.133333
