codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
90100,47.99A,19,47.45,7
90100,47.99A,19,47.566667,7.016667
90100,47.99A,19,47.533333,7
90100,47.99A,19,47.566667,7.083333
90100,47.99A,19,47.466667,6.966667
90100,47.99A,19,47.533333,7.1
90100,47.99A,19,47.483333,6.983333
90100,47.99A,19,47.533333,7
90100,47.99A,19,47.566667,7
90100,47.99A,19,47.5,7.066667
90100,47.99A,19,47.5,6.95
90100,47.99A,19,47.516667,7.033333
90100,47.99A,19,47.5,7
90100,47.99A,19,47.45,6.95
90100,47.99A,19,47.516667,7.083333
90100,47.99A,19,"",""
90100,47.99A,19,47.583333,7.05
90100,47.99A,19,47.583333,7.066667
90100,47.99A,19,47.566667,7.016667
90100,00.97,19,47.45,7
90100,00.97,19,47.566667,7.016667
90100,00.97,19,47.533333,7
90100,00.97,19,47.566667,7.083333
90100,00.97,19,47.466667,6.966667
90100,00.97,19,47.533333,7.1
90100,00.97,19,47.483333,6.983333
90100,00.97,19,47.533333,7
90100,00.97,19,47.566667,7
90100,00.97,19,47.5,7.066667
90100,00.97,19,47.5,6.95
90100,00.97,19,47.516667,7.033333
90100,00.97,19,47.5,7
90100,00.97,19,47.45,6.95
90100,00.97,19,47.516667,7.083333
90100,00.97,19,"",""
90100,00.97,19,47.583333,7.05
90100,00.97,19,47.583333,7.066667
90100,00.97,19,47.566667,7.016667
90100,68.20A,76,47.45,7
90100,68.20A,76,47.566667,7.016667
90100,68.20A,76,47.533333,7
90100,68.20A,76,47.566667,7.083333
90100,68.20A,76,47.466667,6.966667
90100,68.20A,76,47.533333,7.1
90100,68.20A,76,47.483333,6.983333
90100,68.20A,76,47.533333,7
90100,68.20A,76,47.566667,7
90100,68.20A,76,47.5,7.066667
90100,68.20A,76,47.5,6.95
90100,68.20A,76,47.516667,7.033333
90100,68.20A,76,47.5,7
90100,68.20A,76,47.45,6.95
90100,68.20A,76,47.516667,7.083333
90100,68.20A,76,"",""
90100,68.20A,76,47.583333,7.05
90100,68.20A,76,47.583333,7.066667
90100,68.20A,76,47.566667,7.016667
90100,15.8B,19,47.45,7
90100,15.8B,19,47.566667,7.016667
90100,15.8B,19,47.533333,7
90100,15.8B,19,47.566667,7.083333
90100,15.8B,19,47.466667,6.966667
90100,15.8B,19,47.533333,7.1
90100,15.8B,19,47.483333,6.983333
90100,15.8B,19,47.533333,7
90100,15.8B,19,47.566667,7
90100,15.8B,19,47.5,7.066667
90100,15.8B,19,47.5,6.95
90100,15.8B,19,47.516667,7.033333
90100,15.8B,19,47.5,7
90100,15.8B,19,47.45,6.95
90100,15.8B,19,47.516667,7.083333
90100,15.8B,19,"",""
90100,15.8B,19,47.583333,7.05
90100,15.8B,19,47.583333,7.066667
90100,15.8B,19,47.566667,7.016667
90100,01.4B,19,47.45,7
90100,01.4B,19,47.566667,7.016667
90100,01.4B,19,47.533333,7
90100,01.4B,19,47.566667,7.083333
90100,01.4B,19,47.466667,6.966667
90100,01.4B,19,47.533333,7.1
90100,01.4B,19,47.483333,6.983333
90100,01.4B,19,47.533333,7
90100,01.4B,19,47.566667,7
90100,01.4B,19,47.5,7.066667
90100,01.4B,19,47.5,6.95
90100,01.4B,19,47.516667,7.033333
90100,01.4B,19,47.5,7
90100,01.4B,19,47.45,6.95
90100,01.4B,19,47.516667,7.083333
90100,01.4B,19,"",""
90100,01.4B,19,47.583333,7.05
90100,01.4B,19,47.583333,7.066667
90100,01.4B,19,47.566667,7.016667
90100,84.11Z,38,47.45,7
90100,84.11Z,38,47.566667,7.016667
90100,84.11Z,38,47.533333,7
90100,84.11Z,38,47.566667,7.083333
90100,84.11Z,38,47.466667,6.966667
90100,84.11Z,38,47.533333,7.1
90100,84.11Z,38,47.483333,6.983333
90100,84.11Z,38,47.533333,7
90100,84.11Z,38,47.566667,7
90100,84.11Z,38,47.5,7.066667
90100,84.11Z,38,47.5,6.95
90100,84.11Z,38,47.516667,7.033333
90100,84.11Z,38,47.5,7
90100,84.11Z,38,47.45,6.95
90100,84.11Z,38,47.516667,7.083333
90100,84.11Z,38,"",""
90100,84.11Z,38,47.583333,7.05
90100,84.11Z,38,47.583333,7.066667
90100,84.11Z,38,47.566667,7.016667
90100,01.3Z,38,47.45,7
90100,01.3Z,38,47.566667,7.016667
90100,01.3Z,38,47.533333,7
90100,01.3Z,38,47.566667,7.083333
90100,01.3Z,38,47.466667,6.966667
90100,01.3Z,38,47.533333,7.1
90100,01.3Z,38,47.483333,6.983333
90100,01.3Z,38,47.533333,7
90100,01.3Z,38,47.566667,7
90100,01.3Z,38,47.5,7.066667
90100,01.3Z,38,47.5,6.95
90100,01.3Z,38,47.516667,7.033333
90100,01.3Z,38,47.5,7
