codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
91390,47.99A,5,48.666667,2.35
91390,58.19Z,1,48.666667,2.35
91390,87.30A,1,48.666667,2.35
91390,64.11,2,48.666667,2.35
91390,70.3A,2,48.666667,2.35
91390,93.21,1,48.666667,2.35
91390,55.3A,3,48.666667,2.35
91390,43.22A,6,48.666667,2.35
91390,47.04,1,48.666667,2.35
91390,95.12Z,1,48.666667,2.35
91390,41.10A,1,48.666667,2.35
91390,93.0D,1,48.666667,2.35
91390,01.11Z,37,48.666667,2.35
91390,00.97,3,48.666667,2.35
91390,47.79Z,4,48.666667,2.35
91390,49.41A,5,48.666667,2.35
91390,95.29Z,5,48.666667,2.35
91390,52.4Z,2,48.666667,2.35
91390,43.99A,1,48.666667,2.35
91390,68.20A,21,48.666667,2.35
91390,55.40,3,48.666667,2.35
91390,49.32Z,10,48.666667,2.35
91390,60.2E,1,48.666667,2.35
91390,45.3E,4,48.666667,2.35
91390,55.60,3,48.666667,2.35
91390,80.30Z,1,48.666667,2.35
91390,32.99Z,1,48.666667,2.35
91390,36.2C,1,48.666667,2.35
91390,74.5A,1,48.666667,2.35
91390,21.08,1,48.666667,2.35
91390,56.21Z,3,48.666667,2.35
91390,95.11Z,4,48.666667,2.35
91390,62.11,3,48.666667,2.35
91390,85.1C,1,48.666667,2.35
91390,50.2Z,1,48.666667,2.35
91390,45.4J,3,48.666667,2.35
91390,47.52A,1,48.666667,2.35
91390,01.47Z,1,48.666667,2.35
91390,77.32Z,1,48.666667,2.35
91390,81.22Z,2,48.666667,2.35
91390,43.34Z,9,48.666667,2.35
91390,95.21Z,1,48.666667,2.35
91390,93.19Z,4,48.666667,2.35
91390,52.4X,1,48.666667,2.35
91390,64.20Z,8,48.666667,2.35
91390,87.10A,1,48.666667,2.35
91390,25.12Z,1,48.666667,2.35
91390,46.13Z,2,48.666667,2.35
91390,86.90E,7,48.666667,2.35
91390,90.01Z,5,48.666667,2.35
91390,03.22Z,3,48.666667,2.35
91390,85.31Z,1,48.666667,2.35
91390,77.10,1,48.666667,2.35
91390,43.32B,5,48.666667,2.35
91390,47.82Z,6,48.666667,2.35
91390,80.4C,1,48.666667,2.35
91390,42.22Z,1,48.666667,2.35
91390,47.75Z,2,48.666667,2.35
91390,94.91Z,2,48.666667,2.35
91390,74.90A,4,48.666667,2.35
91390,56.10C,11,48.666667,2.35
91390,52.4R,1,48.666667,2.35
91390,74.10Z,3,48.666667,2.35
