codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
91600,47.99A,20,48.666667,2.35
91600,64.11,7,48.666667,2.35
91600,70.3A,4,48.666667,2.35
91600,55.3A,8,48.666667,2.35
91600,43.22A,19,48.666667,2.35
91600,51.9B,1,48.666667,2.35
91600,41.10A,3,48.666667,2.35
91600,64.40,1,48.666667,2.35
91600,93.0D,5,48.666667,2.35
91600,01.11Z,2,48.666667,2.35
91600,47.79Z,5,48.666667,2.35
91600,52.3A,2,48.666667,2.35
91600,84.11,2,48.666667,2.35
91600,00.97,1,48.666667,2.35
91600,49.41A,2,48.666667,2.35
91600,77.01,3,48.666667,2.35
91600,64.23,1,48.666667,2.35
91600,95.29Z,7,48.666667,2.35
91600,52.4Z,6,48.666667,2.35
91600,92.3A,1,48.666667,2.35
91600,68.20A,82,48.666667,2.35
91600,51.3J,1,48.666667,2.35
91600,85.1E,1,48.666667,2.35
91600,64.49,3,48.666667,2.35
91600,55.40,1,48.666667,2.35
91600,45.3E,5,48.666667,2.35
91600,49.32Z,18,48.666667,2.35
91600,60.2E,5,48.666667,2.35
91600,46.46Z,1,48.666667,2.35
91600,55.60,4,48.666667,2.35
91600,45.2J,2,48.666667,2.35
91600,56.30Z,2,48.666667,2.35
91600,74.5A,1,48.666667,2.35
91600,36.2C,1,48.666667,2.35
91600,15.8B,1,48.666667,2.35
91600,21.08,1,48.666667,2.35
91600,72.2Z,5,48.666667,2.35
91600,52.21Z,1,48.666667,2.35
91600,49.01,1,48.666667,2.35
91600,56.21Z,7,48.666667,2.35
91600,95.11Z,3,48.666667,2.35
91600,85.1C,5,48.666667,2.35
91600,62.11,2,48.666667,2.35
91600,47.77Z,2,48.666667,2.35
91600,46.49Z,1,48.666667,2.35
91600,50.2Z,1,48.666667,2.35
91600,47.52A,1,48.666667,2.35
91600,45.4J,3,48.666667,2.35
91600,77.32Z,2,48.666667,2.35
91600,81.22Z,6,48.666667,2.35
91600,43.34Z,8,48.666667,2.35
91600,22.1G,1,48.666667,2.35
91600,80.4D,1,48.666667,2.35
91600,93.19Z,8,48.666667,2.35
91600,80.20Z,3,48.666667,2.35
91600,81.29B,1,48.666667,2.35
91600,52.4X,1,48.666667,2.35
91600,93.0N,3,48.666667,2.35
91600,46.74A,1,48.666667,2.35
91600,87.10A,2,48.666667,2.35
91600,64.20Z,23,48.666667,2.35
91600,46.13Z,1,48.666667,2.35
91600,86.90E,41,48.666667,2.35
91600,90.01Z,19,48.666667,2.35
91600,01.43Z,1,48.666667,2.35
91600,85.31Z,1,48.666667,2.35
91600,38.11Z,1,48.666667,2.35
91600,71.20A,1,48.666667,2.35
91600,46.73B,1,48.666667,2.35
91600,43.32B,3,48.666667,2.35
91600,80.4C,1,48.666667,2.35
91600,47.82Z,3,48.666667,2.35
91600,94.91Z,7,48.666667,2.35
91600,77.12Z,1,48.666667,2.35
91600,74.10Z,8,48.666667,2.35
91600,56.10C,10,48.666667,2.35
91600,74.90A,1,48.666667,2.35
91600,52.4R,5,48.666667,2.35
