codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
95150,47.99A,3,49.033333,2.216667
95150,43.22A,1,49.033333,2.216667
95150,01.11Z,10,49.033333,2.216667
95150,68.20A,3,49.033333,2.216667
95150,60.2E,2,49.033333,2.216667
95150,49.32Z,1,49.033333,2.216667
95150,55.60,1,49.033333,2.216667
95150,36.2C,1,49.033333,2.216667
95150,46.49Z,1,49.033333,2.216667
95150,47.77Z,1,49.033333,2.216667
95150,93.0N,1,49.033333,2.216667
95150,64.20Z,1,49.033333,2.216667
95150,90.01Z,2,49.033333,2.216667
95150,86.90E,1,49.033333,2.216667
95150,01.43Z,1,49.033333,2.216667
95150,82.20Z,1,49.033333,2.216667
95150,43.32B,1,49.033333,2.216667
95150,80.4C,2,49.033333,2.216667
95150,74.10Z,1,49.033333,2.216667
95150,82.11Z,1,49.033333,2.216667
95150,84.11Z,3,49.033333,2.216667
95150,50.1Z,1,49.033333,2.216667
95150,66.30Z,1,49.033333,2.216667
95150,85.1G,2,49.033333,2.216667
95150,43.39Z,1,49.033333,2.216667
95150,01.3Z,1,49.033333,2.216667
95150,55.20Z,2,49.033333,2.216667
95150,93.12Z,2,49.033333,2.216667
95150,43.29B,1,49.033333,2.216667
95150,46.42Z,1,49.033333,2.216667
95150,43.32A,3,49.033333,2.216667
95150,69.25,1,49.033333,2.216667
95150,74.1G,1,49.033333,2.216667
95150,47.11B,1,49.033333,2.216667
95150,86.10,1,49.033333,2.216667
95150,65.06,1,49.033333,2.216667
95150,13.92Z,1,49.033333,2.216667
95150,25.03,1,49.033333,2.216667
95150,74.1J,1,49.033333,2.216667
95150,43.33Z,1,49.033333,2.216667
95150,64.12,1,49.033333,2.216667
95150,74.20Z,1,49.033333,2.216667
95150,56.10A,1,49.033333,2.216667
95150,82.19Z,2,49.033333,2.216667
95150,46.19B,2,49.033333,2.216667
95150,46.69B,1,49.033333,2.216667
95150,45.3A,1,49.033333,2.216667
95150,94.99Z,11,49.033333,2.216667
95150,82.99Z,1,49.033333,2.216667
95150,56.29A,1,49.033333,2.216667
95150,67.01,1,49.033333,2.216667
95150,63.11Z,1,49.033333,2.216667
95150,64.47,2,49.033333,2.216667
95150,47.78A,1,49.033333,2.216667
95150,55.73,1,49.033333,2.216667
95150,62.01Z,1,49.033333,2.216667
95150,01.50Z,1,49.033333,2.216667
95150,46.18Z,1,49.033333,2.216667
95150,87.90A,1,49.033333,2.216667
95150,70.2C,1,49.033333,2.216667
95150,90.03A,1,49.033333,2.216667
95150,45.1A,1,49.033333,2.216667
95150,46.90Z,1,49.033333,2.216667
95150,55.10,1,49.033333,2.216667
95150,86.21Z,1,49.033333,2.216667
95150,85.52Z,1,49.033333,2.216667
95150,52.2C,1,49.033333,2.216667
95150,45.32Z,1,49.033333,2.216667
95150,87.07,1,49.033333,2.216667
95150,68.31Z,1,49.033333,2.216667
95150,88.10A,1,49.033333,2.216667
95150,85.59A,1,49.033333,2.216667
95150,85.59B,1,49.033333,2.216667
95150,70.21Z,1,49.033333,2.216667
95150,97.23,1,49.033333,2.216667
95150,01.61Z,2,49.033333,2.216667
95150,96.09Z,4,49.033333,2.216667
95150,29.14,1,49.033333,2.216667
95150,01.13Z,4,49.033333,2.216667
95150,01.1A,2,49.033333,2.216667
95150,90.02Z,1,49.033333,2.216667
95150,86.90F,2,49.033333,2.216667
95150,22.1C,1,49.033333,2.216667
95150,70.22Z,4,49.033333,2.216667
95150,62.09Z,1,49.033333,2.216667
95150,71.20B,1,49.033333,2.216667
95150,58.14Z,1,49.033333,2.216667
95150,66.22Z,4,49.033333,2.216667
95150,92.3D,1,49.033333,2.216667
95150,62.02A,1,49.033333,2.216667
95150,69.20Z,1,49.033333,2.216667
95150,88.99B,2,49.033333,2.216667
95150,38.40,2,49.033333,2.216667
95150,47.89Z,1,49.033333,2.216667
95150,92.6C,1,49.033333,2.216667
95150,85.51Z,2,49.033333,2.216667
95150,65.03,1,49.033333,2.216667
95150,66.19A,1,49.033333,2.216667
95150,18.13Z,1,49.033333,2.216667
95150,55.72,2,49.033333,2.216667
95150,71.12B,2,49.033333,2.216667
95150,68.20B,22,49.033333,2.216667
