codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
95480,47.99A,12,49.016667,2.166667
95480,33.20A,1,49.016667,2.166667
95480,64.11,10,49.016667,2.166667
95480,70.3A,6,49.016667,2.166667
95480,63.99Z,1,49.016667,2.166667
95480,55.3A,5,49.016667,2.166667
95480,43.22A,15,49.016667,2.166667
95480,47.04,3,49.016667,2.166667
95480,51.9B,1,49.016667,2.166667
95480,22.1E,1,49.016667,2.166667
95480,93.0D,5,49.016667,2.166667
95480,01.11Z,2,49.016667,2.166667
95480,52.3A,1,49.016667,2.166667
95480,00.97,2,49.016667,2.166667
95480,47.79Z,2,49.016667,2.166667
95480,38.22Z,1,49.016667,2.166667
95480,43.99A,4,49.016667,2.166667
95480,52.4Z,4,49.016667,2.166667
95480,92.3A,5,49.016667,2.166667
95480,95.29Z,2,49.016667,2.166667
95480,64.23,2,49.016667,2.166667
95480,68.20A,64,49.016667,2.166667
95480,55.40,3,49.016667,2.166667
95480,85.1E,3,49.016667,2.166667
95480,64.49,1,49.016667,2.166667
95480,49.32Z,15,49.016667,2.166667
95480,45.3E,1,49.016667,2.166667
95480,60.2E,4,49.016667,2.166667
95480,80.04,1,49.016667,2.166667
95480,36.6E,1,49.016667,2.166667
95480,55.60,3,49.016667,2.166667
95480,86.22A,1,49.016667,2.166667
95480,56.30Z,5,49.016667,2.166667
95480,18.20Z,1,49.016667,2.166667
95480,15.8D,1,49.016667,2.166667
95480,32.99Z,1,49.016667,2.166667
95480,74.5A,1,49.016667,2.166667
95480,21.08,1,49.016667,2.166667
95480,72.2Z,2,49.016667,2.166667
95480,52.21Z,1,49.016667,2.166667
95480,56.21Z,6,49.016667,2.166667
95480,95.11Z,5,49.016667,2.166667
95480,85.1C,3,49.016667,2.166667
95480,62.11,4,49.016667,2.166667
95480,92.3J,1,49.016667,2.166667
95480,46.49Z,4,49.016667,2.166667
95480,50.2Z,1,49.016667,2.166667
95480,58.05,1,49.016667,2.166667
95480,45.4J,4,49.016667,2.166667
95480,47.52A,1,49.016667,2.166667
95480,78.20Z,1,49.016667,2.166667
95480,73.20Z,2,49.016667,2.166667
95480,81.22Z,2,49.016667,2.166667
95480,52.4Y,1,49.016667,2.166667
95480,43.34Z,14,49.016667,2.166667
95480,80.4D,3,49.016667,2.166667
95480,81.29B,2,49.016667,2.166667
95480,93.19Z,5,49.016667,2.166667
95480,80.20Z,1,49.016667,2.166667
95480,25.61Z,3,49.016667,2.166667
95480,93.0N,3,49.016667,2.166667
95480,47.02,1,49.016667,2.166667
95480,52.4X,2,49.016667,2.166667
95480,46.74A,1,49.016667,2.166667
95480,64.20Z,18,49.016667,2.166667
95480,46.13Z,2,49.016667,2.166667
95480,87.10A,2,49.016667,2.166667
95480,52.7H,2,49.016667,2.166667
95480,86.90E,25,49.016667,2.166667
95480,90.01Z,17,49.016667,2.166667
95480,85.31Z,1,49.016667,2.166667
95480,46.71Z,3,49.016667,2.166667
95480,01.43Z,1,49.016667,2.166667
95480,82.20Z,2,49.016667,2.166667
95480,46.73B,1,49.016667,2.166667
95480,77.10,1,49.016667,2.166667
95480,80.4C,1,49.016667,2.166667
95480,43.32B,7,49.016667,2.166667
95480,47.82Z,1,49.016667,2.166667
95480,94.91Z,1,49.016667,2.166667
95480,47.75Z,1,49.016667,2.166667
95480,74.90A,1,49.016667,2.166667
95480,56.10C,10,49.016667,2.166667
95480,74.10Z,9,49.016667,2.166667
95480,52.4R,1,49.016667,2.166667
95480,82.11Z,5,49.016667,2.166667
95480,87.20A,1,49.016667,2.166667
95480,81.30Z,10,49.016667,2.166667
95480,49.05,2,49.016667,2.166667
95480,84.11Z,10,49.016667,2.166667
95480,01.4B,6,49.016667,2.166667
95480,59.11,2,49.016667,2.166667
95480,64.42,1,49.016667,2.166667
95480,42.21Z,1,49.016667,2.166667
95480,22.23Z,1,49.016667,2.166667
95480,36.5Z,1,49.016667,2.166667
95480,79.12Z,1,49.016667,2.166667
95480,50.1Z,1,49.016667,2.166667
95480,85.01,1,49.016667,2.166667
95480,60.2P,1,49.016667,2.166667
95480,10.13B,1,49.016667,2.166667
95480,66.30Z,1,49.016667,2.166667
95480,55.20,1,49.016667,2.166667
95480,45.4D,1,49.016667,2.166667
95480,60.04,1,49.016667,2.166667
