codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
95510,47.99A,28,49.1,1.733333
95510,47.99A,28,49.066667,1.733333
95510,47.99A,28,49.066667,1.7
95510,47.99A,28,49.066667,1.75
95510,47.99A,28,49.083333,1.683333
95510,47.99A,28,49.1,1.65
95510,47.99A,28,49.066667,1.783333
95510,25.73B,7,49.1,1.733333
95510,25.73B,7,49.066667,1.733333
95510,25.73B,7,49.066667,1.7
95510,25.73B,7,49.066667,1.75
95510,25.73B,7,49.083333,1.683333
95510,25.73B,7,49.1,1.65
95510,25.73B,7,49.066667,1.783333
95510,55.3A,63,49.1,1.733333
95510,55.3A,63,49.066667,1.733333
95510,55.3A,63,49.066667,1.7
95510,55.3A,63,49.066667,1.75
95510,55.3A,63,49.083333,1.683333
95510,55.3A,63,49.1,1.65
95510,55.3A,63,49.066667,1.783333
95510,43.22A,7,49.1,1.733333
95510,43.22A,7,49.066667,1.733333
95510,43.22A,7,49.066667,1.7
95510,43.22A,7,49.066667,1.75
95510,43.22A,7,49.083333,1.683333
95510,43.22A,7,49.1,1.65
95510,43.22A,7,49.066667,1.783333
95510,31.01Z,7,49.1,1.733333
95510,31.01Z,7,49.066667,1.733333
95510,31.01Z,7,49.066667,1.7
95510,31.01Z,7,49.066667,1.75
95510,31.01Z,7,49.083333,1.683333
95510,31.01Z,7,49.1,1.65
95510,31.01Z,7,49.066667,1.783333
95510,41.10A,21,49.1,1.733333
95510,41.10A,21,49.066667,1.733333
95510,41.10A,21,49.066667,1.7
95510,41.10A,21,49.066667,1.75
95510,41.10A,21,49.083333,1.683333
95510,41.10A,21,49.1,1.65
95510,41.10A,21,49.066667,1.783333
95510,93.0D,7,49.1,1.733333
95510,93.0D,7,49.066667,1.733333
95510,93.0D,7,49.066667,1.7
95510,93.0D,7,49.066667,1.75
95510,93.0D,7,49.083333,1.683333
95510,93.0D,7,49.1,1.65
95510,93.0D,7,49.066667,1.783333
95510,01.11Z,35,49.1,1.733333
95510,01.11Z,35,49.066667,1.733333
95510,01.11Z,35,49.066667,1.7
95510,01.11Z,35,49.066667,1.75
95510,01.11Z,35,49.083333,1.683333
95510,01.11Z,35,49.1,1.65
95510,01.11Z,35,49.066667,1.783333
95510,47.79Z,7,49.1,1.733333
95510,47.79Z,7,49.066667,1.733333
95510,47.79Z,7,49.066667,1.7
95510,47.79Z,7,49.066667,1.75
95510,47.79Z,7,49.083333,1.683333
95510,47.79Z,7,49.1,1.65
95510,47.79Z,7,49.066667,1.783333
95510,65.02,7,49.1,1.733333
95510,65.02,7,49.066667,1.733333
95510,65.02,7,49.066667,1.7
95510,65.02,7,49.066667,1.75
95510,65.02,7,49.083333,1.683333
95510,65.02,7,49.1,1.65
95510,65.02,7,49.066667,1.783333
95510,49.41A,21,49.1,1.733333
95510,49.41A,21,49.066667,1.733333
95510,49.41A,21,49.066667,1.7
95510,49.41A,21,49.066667,1.75
95510,49.41A,21,49.083333,1.683333
95510,49.41A,21,49.1,1.65
95510,49.41A,21,49.066667,1.783333
95510,43.99A,7,49.1,1.733333
95510,43.99A,7,49.066667,1.733333
95510,43.99A,7,49.066667,1.7
95510,43.99A,7,49.066667,1.75
95510,43.99A,7,49.083333,1.683333
95510,43.99A,7,49.1,1.65
95510,43.99A,7,49.066667,1.783333
95510,95.29Z,14,49.1,1.733333
95510,95.29Z,14,49.066667,1.733333
95510,95.29Z,14,49.066667,1.7
95510,95.29Z,14,49.066667,1.75
95510,95.29Z,14,49.083333,1.683333
95510,95.29Z,14,49.1,1.65
95510,95.29Z,14,49.066667,1.783333
95510,68.20A,21,49.1,1.733333
95510,68.20A,21,49.066667,1.733333
95510,68.20A,21,49.066667,1.7
95510,68.20A,21,49.066667,1.75
95510,68.20A,21,49.083333,1.683333
95510,68.20A,21,49.1,1.65
95510,68.20A,21,49.066667,1.783333
95510,49.32Z,35,49.1,1.733333
95510,49.32Z,35,49.066667,1.733333
95510,49.32Z,35,49.066667,1.7
95510,49.32Z,35,49.066667,1.75
95510,49.32Z,35,49.083333,1.683333
95510,49.32Z,35,49.1,1.65
95510,49.32Z,35,49.066667,1.783333
95510,55.60,14,49.1,1.733333
95510,55.60,14,49.066667,1.733333
95510,55.60,14,49.066667,1.7
95510,55.60,14,49.066667,1.75
95510,55.60,14,49.083333,1.683333
95510,55.60,14,49.1,1.65
95510,55.60,14,49.066667,1.783333
95510,56.30Z,7,49.1,1.733333
95510,56.30Z,7,49.066667,1.733333
95510,56.30Z,7,49.066667,1.7
95510,56.30Z,7,49.066667,1.75
95510,56.30Z,7,49.083333,1.683333
95510,56.30Z,7,49.1,1.65
95510,56.30Z,7,49.066667,1.783333
95510,52.29A,7,49.1,1.733333
95510,52.29A,7,49.066667,1.733333
95510,52.29A,7,49.066667,1.7
95510,52.29A,7,49.066667,1.75
95510,52.29A,7,49.083333,1.683333
95510,52.29A,7,49.1,1.65
95510,52.29A,7,49.066667,1.783333
95510,56.21Z,21,49.1,1.733333
95510,56.21Z,21,49.066667,1.733333
95510,56.21Z,21,49.066667,1.7
95510,56.21Z,21,49.066667,1.75
95510,56.21Z,21,49.083333,1.683333
95510,56.21Z,21,49.1,1.65
95510,56.21Z,21,49.066667,1.783333
95510,47.52A,14,49.1,1.733333
95510,47.52A,14,49.066667,1.733333
95510,47.52A,14,49.066667,1.7
95510,47.52A,14,49.066667,1.75
95510,47.52A,14,49.083333,1.683333
95510,47.52A,14,49.1,1.65
95510,47.52A,14,49.066667,1.783333
95510,73.20Z,7,49.1,1.733333
95510,73.20Z,7,49.066667,1.733333
95510,73.20Z,7,49.066667,1.7
95510,73.20Z,7,49.066667,1.75
95510,73.20Z,7,49.083333,1.683333
95510,73.20Z,7,49.1,1.65
95510,73.20Z,7,49.066667,1.783333
95510,81.22Z,28,49.1,1.733333
95510,81.22Z,28,49.066667,1.733333
95510,81.22Z,28,49.066667,1.7
95510,81.22Z,28,49.066667,1.75
95510,81.22Z,28,49.083333,1.683333
95510,81.22Z,28,49.1,1.65
95510,81.22Z,28,49.066667,1.783333
95510,43.34Z,7,49.1,1.733333
95510,43.34Z,7,49.066667,1.733333
95510,43.34Z,7,49.066667,1.7
95510,43.34Z,7,49.066667,1.75
95510,43.34Z,7,49.083333,1.683333
95510,43.34Z,7,49.1,1.65
95510,43.34Z,7,49.066667,1.783333
95510,52.4X,7,49.1,1.733333
95510,52.4X,7,49.066667,1.733333
95510,52.4X,7,49.066667,1.7
95510,52.4X,7,49.066667,1.75
95510,52.4X,7,49.083333,1.683333
95510,52.4X,7,49.1,1.65
95510,52.4X,7,49.066667,1.783333
95510,64.20Z,42,49.1,1.733333
95510,64.20Z,42,49.066667,1.733333
95510,64.20Z,42,49.066667,1.7
95510,64.20Z,42,49.066667,1.75
95510,64.20Z,42,49.083333,1.683333
95510,64.20Z,42,49.1,1.65
95510,64.20Z,42,49.066667,1.783333
95510,46.13Z,7,49.1,1.733333
95510,46.13Z,7,49.066667,1.733333
95510,46.13Z,7,49.066667,1.7
95510,46.13Z,7,49.066667,1.75
95510,46.13Z,7,49.083333,1.683333
95510,46.13Z,7,49.1,1.65
95510,46.13Z,7,49.066667,1.783333
95510,86.90E,231,49.1,1.733333
95510,86.90E,231,49.066667,1.733333
