codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
95680,47.99A,54,49.016667,2.283333
95680,33.20A,5,49.016667,2.283333
95680,58.19Z,1,49.016667,2.283333
95680,45.20B,1,49.016667,2.283333
95680,70.3A,10,49.016667,2.283333
95680,64.11,40,49.016667,2.283333
95680,61.10Z,12,49.016667,2.283333
95680,87.30A,1,49.016667,2.283333
95680,55.3A,20,49.016667,2.283333
95680,46.45Z,2,49.016667,2.283333
95680,65.12Z,1,49.016667,2.283333
95680,43.22A,65,49.016667,2.283333
95680,95.12Z,5,49.016667,2.283333
95680,47.04,1,49.016667,2.283333
95680,51.9B,7,49.016667,2.283333
95680,71.1A,2,49.016667,2.283333
95680,22.1E,1,49.016667,2.283333
95680,41.10A,5,49.016667,2.283333
95680,67.05,1,49.016667,2.283333
95680,93.0D,8,49.016667,2.283333
95680,01.1F,2,49.016667,2.283333
95680,43.11Z,1,49.016667,2.283333
95680,47.79Z,7,49.016667,2.283333
95680,00.97,12,49.016667,2.283333
95680,01.11Z,2,49.016667,2.283333
95680,23.19Z,1,49.016667,2.283333
95680,65.02,10,49.016667,2.283333
95680,49.41A,20,49.016667,2.283333
95680,77.01,2,49.016667,2.283333
95680,46.23Z,1,49.016667,2.283333
95680,95.29Z,9,49.016667,2.283333
95680,52.4Z,7,49.016667,2.283333
95680,43.99A,17,49.016667,2.283333
95680,92.3A,3,49.016667,2.283333
95680,47.65Z,2,49.016667,2.283333
95680,68.20A,75,49.016667,2.283333
95680,64.49,17,49.016667,2.283333
95680,55.40,6,49.016667,2.283333
95680,85.1E,2,49.016667,2.283333
95680,51.3A,1,49.016667,2.283333
95680,49.32Z,496,49.016667,2.283333
95680,60.2E,41,49.016667,2.283333
95680,80.04,8,49.016667,2.283333
95680,45.3E,7,49.016667,2.283333
95680,53.05,1,49.016667,2.283333
95680,46.46Z,3,49.016667,2.283333
95680,55.60,21,49.016667,2.283333
95680,52.22Z,1,49.016667,2.283333
95680,45.2J,1,49.016667,2.283333
95680,56.30Z,12,49.016667,2.283333
95680,80.30Z,1,49.016667,2.283333
95680,86.22A,3,49.016667,2.283333
95680,15.8D,1,49.016667,2.283333
95680,32.99Z,2,49.016667,2.283333
95680,21.08,2,49.016667,2.283333
95680,72.2Z,1,49.016667,2.283333
95680,15.8B,1,49.016667,2.283333
95680,49.01,2,49.016667,2.283333
95680,52.21Z,3,49.016667,2.283333
95680,36.00Z,1,49.016667,2.283333
95680,17.29Z,1,49.016667,2.283333
95680,56.21Z,24,49.016667,2.283333
95680,95.11Z,9,49.016667,2.283333
95680,52.29A,3,49.016667,2.283333
95680,85.1C,16,49.016667,2.283333
95680,62.11,10,49.016667,2.283333
95680,20.4Z,1,49.016667,2.283333
95680,50.2Z,11,49.016667,2.283333
95680,46.49Z,11,49.016667,2.283333
95680,47.77Z,2,49.016667,2.283333
95680,45.4J,23,49.016667,2.283333
95680,78.20Z,4,49.016667,2.283333
95680,47.52A,1,49.016667,2.283333
95680,18.2G,1,49.016667,2.283333
95680,51.1G,1,49.016667,2.283333
95680,77.32Z,3,49.016667,2.283333
95680,73.20Z,3,49.016667,2.283333
95680,81.22Z,17,49.016667,2.283333
95680,52.4V,1,49.016667,2.283333
95680,43.34Z,99,49.016667,2.283333
95680,22.1G,2,49.016667,2.283333
95680,80.4D,1,49.016667,2.283333
95680,88.99A,1,49.016667,2.283333
95680,95.21Z,1,49.016667,2.283333
95680,81.29B,5,49.016667,2.283333
95680,93.19Z,6,49.016667,2.283333
95680,80.20Z,8,49.016667,2.283333
95680,36.4Z,1,49.016667,2.283333
95680,93.0N,3,49.016667,2.283333
95680,72.20Z,2,49.016667,2.283333
95680,52.4X,2,49.016667,2.283333
95680,47.02,2,49.016667,2.283333
95680,46.74A,1,49.016667,2.283333
95680,64.20Z,23,49.016667,2.283333
95680,87.10A,3,49.016667,2.283333
95680,52.7H,3,49.016667,2.283333
95680,25.12Z,2,49.016667,2.283333
95680,46.13Z,2,49.016667,2.283333
95680,90.01Z,46,49.016667,2.283333
95680,86.90E,79,49.016667,2.283333
95680,71.3G,1,49.016667,2.283333
95680,52.29B,6,49.016667,2.283333
95680,85.31Z,3,49.016667,2.283333
95680,46.71Z,1,49.016667,2.283333
95680,46.73B,4,49.016667,2.283333
95680,71.20A,5,49.016667,2.283333
95680,77.10,3,49.016667,2.283333
95680,82.20Z,2,49.016667,2.283333
95680,31.13,2,49.016667,2.283333
95680,43.32B,22,49.016667,2.283333
95680,47.82Z,78,49.016667,2.283333
95680,80.4C,7,49.016667,2.283333
95680,47.75Z,4,49.016667,2.283333
95680,94.91Z,8,49.016667,2.283333
95680,42.22Z,3,49.016667,2.283333
95680,52.2G,1,49.016667,2.283333
95680,77.12Z,1,49.016667,2.283333
95680,38.31Z,2,49.016667,2.283333
95680,56.10C,121,49.016667,2.283333
95680,74.10Z,29,49.016667,2.283333
95680,52.4R,11,49.016667,2.283333
95680,74.90A,2,49.016667,2.283333
95680,33.20C,1,49.016667,2.283333
95680,01.16,1,49.016667,2.283333
95680,43.91A,3,49.016667,2.283333
95680,82.11Z,10,49.016667,2.283333
95680,29.1A,1,49.016667,2.283333
95680,51.8L,2,49.016667,2.283333
95680,87.20A,1,49.016667,2.283333
95680,93.13Z,2,49.016667,2.283333
95680,45.4L,2,49.016667,2.283333
95680,86.10Z,4,49.016667,2.283333
95680,81.30Z,12,49.016667,2.283333
95680,58.07,1,49.016667,2.283333
95680,84.11Z,40,49.016667,2.283333
95680,01.4B,5,49.016667,2.283333
95680,43.99B,13,49.016667,2.283333
95680,50.4Z,1,49.016667,2.283333
95680,64.42,1,49.016667,2.283333
95680,59.11,1,49.016667,2.283333
95680,22.23Z,1,49.016667,2.283333
95680,50.1Z,19,49.016667,2.283333
95680,52.7C,1,49.016667,2.283333
95680,17.7C,1,49.016667,2.283333
95680,10.13B,1,49.016667,2.283333
95680,66.30Z,2,49.016667,2.283333
95680,54.07,1,49.016667,2.283333
95680,45.4D,5,49.016667,2.283333
95680,64.45,3,49.016667,2.283333
95680,"",1,49.016667,2.283333
95680,35.23Z,1,49.016667,2.283333
95680,95.22Z,1,49.016667,2.283333
95680,60.04,1,49.016667,2.283333
95680,18.2D,4,49.016667,2.283333
95680,77.14,5,49.016667,2.283333
95680,85.1G,12,49.016667,2.283333
95680,43.39Z,23,49.016667,2.283333
95680,43.12B,1,49.016667,2.283333
95680,87.01,5,49.016667,2.283333
95680,55.20Z,1,49.016667,2.283333
95680,93.12Z,56,49.016667,2.283333
95680,43.29B,13,49.016667,2.283333
95680,43.22B,22,49.016667,2.283333
95680,94.11Z,2,49.016667,2.283333
95680,25.2H,1,49.016667,2.283333
95680,26.51B,2,49.016667,2.283333
95680,43.32A,32,49.016667,2.283333
95680,46.42Z,19,49.016667,2.283333
95680,56.29B,3,49.016667,2.283333
95680,28.1C,2,49.016667,2.283333
95680,44.42,1,49.016667,2.283333
95680,25.62B,4,49.016667,2.283333
95680,47.01,4,49.016667,2.283333
95680,69.25,5,49.016667,2.283333
95680,74.1G,15,49.016667,2.283333
95680,72.5Z,3,49.016667,2.283333
95680,58.06,1,49.016667,2.283333
95680,74.30Z,16,49.016667,2.283333
95680,47.11C,3,49.016667,2.283333
95680,38.32Z,9,49.016667,2.283333
95680,47.11B,30,49.016667,2.283333
95680,79.11Z,1,49.016667,2.283333
95680,70.1F,3,49.016667,2.283333
95680,96.03Z,10,49.016667,2.283333
95680,36.1G,1,49.016667,2.283333
95680,52.2A,8,49.016667,2.283333
95680,47.61Z,4,49.016667,2.283333
95680,20.5C,1,49.016667,2.283333
95680,92.3B,2,49.016667,2.283333
95680,52.2P,2,49.016667,2.283333
95680,64.19Z,8,49.016667,2.283333
95680,59.20Z,18,49.016667,2.283333
95680,71.1Z,1,49.016667,2.283333
95680,65.06,6,49.016667,2.283333
95680,46.41Z,3,49.016667,2.283333
95680,26.6E,1,49.016667,2.283333
95680,51.5H,1,49.016667,2.283333
95680,43.32C,3,49.016667,2.283333
95680,59.13B,1,49.016667,2.283333
95680,65.2E,1,49.016667,2.283333
95680,13.92Z,1,49.016667,2.283333
95680,01.24Z,1,49.016667,2.283333
95680,86.23Z,21,49.016667,2.283333
95680,46.38B,5,49.016667,2.283333
95680,49.39A,3,49.016667,2.283333
95680,02.20Z,1,49.016667,2.283333
95680,55.4B,3,49.016667,2.283333
95680,37.00Z,2,49.016667,2.283333
95680,46.17B,1,49.016667,2.283333
95680,22.2J,1,49.016667,2.283333
95680,52.6E,69,49.016667,2.283333
95680,26.20Z,1,49.016667,2.283333
95680,96.25,1,49.016667,2.283333
95680,47.74Z,1,49.016667,2.283333
95680,10.85Z,2,49.016667,2.283333
95680,97.22,1,49.016667,2.283333
95680,74.1J,14,49.016667,2.283333
95680,43.33Z,54,49.016667,2.283333
95680,68.32B,1,49.016667,2.283333
95680,74.20Z,20,49.016667,2.283333
95680,47.22Z,14,49.016667,2.283333
95680,44.21,2,49.016667,2.283333
95680,64.12,4,49.016667,2.283333
95680,85.3B,1,49.016667,2.283333
95680,67.1E,2,49.016667,2.283333
95680,56.10A,41,49.016667,2.283333
95680,47.11D,18,49.016667,2.283333
95680,51.3T,3,49.016667,2.283333
95680,96.02A,33,49.016667,2.283333
95680,86.90D,68,49.016667,2.283333
95680,82.19Z,24,49.016667,2.283333
95680,51.1R,9,49.016667,2.283333
95680,85.32Z,2,49.016667,2.283333
95680,46.19B,33,49.016667,2.283333
95680,55.3B,16,49.016667,2.283333
95680,78.02,2,49.016667,2.283333
95680,31.09B,1,49.016667,2.283333
95680,87.10C,1,49.016667,2.283333
95680,69.12,28,49.016667,2.283333
95680,45.3A,29,49.016667,2.283333
95680,46.69B,6,49.016667,2.283333
95680,85.20Z,3,49.016667,2.283333
95680,85.42Z,1,49.016667,2.283333
95680,73.12Z,2,49.016667,2.283333
95680,29.11,2,49.016667,2.283333
95680,33.19Z,1,49.016667,2.283333
95680,52.4E,2,49.016667,2.283333
95680,77.04,2,49.016667,2.283333
95680,46.76Z,3,49.016667,2.283333
95680,64.24,5,49.016667,2.283333
95680,58.11,1,49.016667,2.283333
95680,52.7D,1,49.016667,2.283333
95680,55.30Z,1,49.016667,2.283333
95680,61.01,1,49.016667,2.283333
95680,43.91B,11,49.016667,2.283333
95680,47.53Z,1,49.016667,2.283333
95680,18.3Z,1,49.016667,2.283333
95680,94.99Z,271,49.016667,2.283333
95680,67.2Z,13,49.016667,2.283333
95680,92.18,1,49.016667,2.283333
95680,81.11,1,49.016667,2.283333
95680,14.13Z,15,49.016667,2.283333
95680,70.10Z,11,49.016667,2.283333
95680,47.76Z,5,49.016667,2.283333
95680,24.10Z,1,49.016667,2.283333
95680,77.29Z,6,49.016667,2.283333
95680,85.60Z,2,49.016667,2.283333
95680,49.31Z,6,49.016667,2.283333
95680,82.06,5,49.016667,2.283333
95680,88.91B,2,49.016667,2.283333
95680,82.99Z,23,49.016667,2.283333
95680,47.59A,10,49.016667,2.283333
95680,47.21Z,6,49.016667,2.283333
95680,46.37Z,1,49.016667,2.283333
95680,79.90Z,2,49.016667,2.283333
95680,41.10C,1,49.016667,2.283333
95680,80.4A,3,49.016667,2.283333
95680,85.1A,1,49.016667,2.283333
95680,36.1K,2,49.016667,2.283333
95680,52.7A,3,49.016667,2.283333
95680,86.06,2,49.016667,2.283333
95680,79.06,3,49.016667,2.283333
95680,45.3F,4,49.016667,2.283333
95680,63.12Z,1,49.016667,2.283333
95680,56.29A,9,49.016667,2.283333
95680,26.1J,1,49.016667,2.283333
95680,46.16Z,1,49.016667,2.283333
95680,15.8A,1,49.016667,2.283333
95680,90.04Z,1,49.016667,2.283333
95680,91.1C,1,49.016667,2.283333
95680,49.10Z,1,49.016667,2.283333
95680,51.1T,4,49.016667,2.283333
95680,25.50B,2,49.016667,2.283333
95680,59.11B,4,49.016667,2.283333
95680,50.3B,4,49.016667,2.283333
95680,23.70Z,1,49.016667,2.283333
95680,51.3S,1,49.016667,2.283333
95680,22.1A,1,49.016667,2.283333
95680,86.22C,28,49.016667,2.283333
95680,47.52B,1,49.016667,2.283333
95680,59.02,1,49.016667,2.283333
95680,47.43Z,1,49.016667,2.283333
95680,01.28Z,1,49.016667,2.283333
95680,67.01,9,49.016667,2.283333
95680,47.78C,23,49.016667,2.283333
95680,66.19B,10,49.016667,2.283333
95680,92.3H,1,49.016667,2.283333
95680,64.14,5,49.016667,2.283333
95680,47.72A,4,49.016667,2.283333
95680,63.11Z,3,49.016667,2.283333
95680,74.8A,3,49.016667,2.283333
95680,51.6J,1,49.016667,2.283333
95680,45.4M,10,49.016667,2.283333
95680,00.00Z,16,49.016667,2.283333
95680,87.03,3,49.016667,2.283333
95680,74.01,1,49.016667,2.283333
95680,69.23,20,49.016667,2.283333
95680,45.4A,6,49.016667,2.283333
95680,46.34Z,1,49.016667,2.283333
95680,74.7Z,7,49.016667,2.283333
95680,82.30Z,6,49.016667,2.283333
95680,60.10Z,1,49.016667,2.283333
95680,47.78A,3,49.016667,2.283333
95680,51.4D,1,49.016667,2.283333
95680,62.43,11,49.016667,2.283333
95680,47.64Z,3,49.016667,2.283333
95680,55.73,32,49.016667,2.283333
95680,72.3Z,1,49.016667,2.283333
95680,77.21Z,3,49.016667,2.283333
95680,77.03,1,49.016667,2.283333
95680,85.3J,2,49.016667,2.283333
95680,62.01Z,30,49.016667,2.283333
95680,43.29A,13,49.016667,2.283333
95680,55.71,6,49.016667,2.283333
95680,10.82Z,1,49.016667,2.283333
95680,10.71B,5,49.016667,2.283333
95680,62.41,9,49.016667,2.283333
95680,46.18Z,11,49.016667,2.283333
95680,46.17A,1,49.016667,2.283333
95680,51.2G,2,49.016667,2.283333
95680,66.29Z,1,49.016667,2.283333
95680,84.13,3,49.016667,2.283333
95680,49.41C,1,49.016667,2.283333
95680,95.23Z,1,49.016667,2.283333
95680,77.12,5,49.016667,2.283333
95680,81.21,9,49.016667,2.283333
95680,64.30,5,49.016667,2.283333
95680,52.3E,2,49.016667,2.283333
95680,62.12,1,49.016667,2.283333
95680,01.45Z,1,49.016667,2.283333
95680,87.90A,1,49.016667,2.283333
95680,55.2E,1,49.016667,2.283333
95680,43.31Z,23,49.016667,2.283333
95680,91.3E,16,49.016667,2.283333
95680,85.53Z,15,49.016667,2.283333
95680,51.4S,9,49.016667,2.283333
95680,47.62Z,2,49.016667,2.283333
95680,45.2T,1,49.016667,2.283333
95680,47.26Z,1,49.016667,2.283333
95680,45.4C,15,49.016667,2.283333
95680,47.54Z,3,49.016667,2.283333
95680,28.3C,5,49.016667,2.283333
95680,43.99D,8,49.016667,2.283333
95680,23.13Z,2,49.016667,2.283333
95680,22.22Z,2,49.016667,2.283333
95680,70.2C,21,49.016667,2.283333
95680,47.24Z,5,49.016667,2.283333
95680,81.29A,3,49.016667,2.283333
95680,47.71Z,33,49.016667,2.283333
95680,90.03A,19,49.016667,2.283333
95680,51.1L,1,49.016667,2.283333
95680,74.6Z,26,49.016667,2.283333
95680,45.1A,6,49.016667,2.283333
95680,51.7Z,1,49.016667,2.283333
95680,77.39Z,4,49.016667,2.283333
95680,46.39B,14,49.016667,2.283333
95680,18.2C,1,49.016667,2.283333
95680,81.10Z,31,49.016667,2.283333
95680,86.07,2,49.016667,2.283333
95680,61.90Z,13,49.016667,2.283333
95680,77.11,7,49.016667,2.283333
95680,46.61Z,1,49.016667,2.283333
95680,51.3D,1,49.016667,2.283333
95680,46.90Z,37,49.016667,2.283333
95680,46.15Z,2,49.016667,2.283333
95680,65.11Z,2,49.016667,2.283333
95680,35.14Z,1,49.016667,2.283333
95680,87.08,2,49.016667,2.283333
95680,61.30Z,1,49.016667,2.283333
95680,87.10,1,49.016667,2.283333
95680,45.31Z,6,49.016667,2.283333
95680,49.39B,13,49.016667,2.283333
95680,47.78B,1,49.016667,2.283333
95680,67.07,1,49.016667,2.283333
95680,86.21Z,63,49.016667,2.283333
95680,96.02B,26,49.016667,2.283333
95680,52.24B,1,49.016667,2.283333
95680,67.1A,1,49.016667,2.283333
95680,47.19B,3,49.016667,2.283333
95680,55.10,2,49.016667,2.283333
95680,85.52Z,10,49.016667,2.283333
95680,85.3K,3,49.016667,2.283333
95680,34.06,1,49.016667,2.283333
95680,45.2A,26,49.016667,2.283333
95680,50.3A,2,49.016667,2.283333
95680,73.06,1,49.016667,2.283333
95680,64.48,1,49.016667,2.283333
95680,52.2C,13,49.016667,2.283333
95680,71.11Z,13,49.016667,2.283333
95680,08.01,1,49.016667,2.283333
95680,47.73Z,15,49.016667,2.283333
95680,45.32Z,17,49.016667,2.283333
95680,74.8K,7,49.016667,2.283333
95680,52.1A,1,49.016667,2.283333
95680,15.1E,1,49.016667,2.283333
95680,51.8M,3,49.016667,2.283333
95680,47.81Z,30,49.016667,2.283333
95680,86.90A,6,49.016667,2.283333
95680,10.71D,1,49.016667,2.283333
95680,74.4B,3,49.016667,2.283333
95680,49.50Z,2,49.016667,2.283333
95680,52.6B,2,49.016667,2.283333
95680,46.69C,3,49.016667,2.283333
95680,68.31Z,34,49.016667,2.283333
95680,25.11Z,5,49.016667,2.283333
95680,84.25Z,3,49.016667,2.283333
95680,51.6G,9,49.016667,2.283333
95680,88.10A,10,49.016667,2.283333
95680,46.69A,2,49.016667,2.283333
95680,01.42Z,1,49.016667,2.283333
95680,64.22,1,49.016667,2.283333
95680,85.59B,25,49.016667,2.283333
95680,85.59A,27,49.016667,2.283333
95680,93.0H,2,49.016667,2.283333
95680,51.4F,1,49.016667,2.283333
95680,43.99C,167,49.016667,2.283333
95680,51.5E,2,49.016667,2.283333
95680,36.1M,1,49.016667,2.283333
95680,49.41B,61,49.016667,2.283333
95680,52.5Z,2,49.016667,2.283333
95680,46.32B,1,49.016667,2.283333
95680,70.21Z,14,49.016667,2.283333
95680,10.71C,18,49.016667,2.283333
95680,15.1F,2,49.016667,2.283333
95680,51.20,1,49.016667,2.283333
95680,47.51Z,7,49.016667,2.283333
95680,97.23,4,49.016667,2.283333
95680,88.10B,1,49.016667,2.283333
95680,82.92Z,1,49.016667,2.283333
95680,45.20A,40,49.016667,2.283333
95680,33.20B,2,49.016667,2.283333
95680,52.1C,2,49.016667,2.283333
95680,43.99E,1,49.016667,2.283333
95680,51.4J,1,49.016667,2.283333
95680,56.02,1,49.016667,2.283333
95680,96.04Z,8,49.016667,2.283333
95680,67.04,3,49.016667,2.283333
95680,41.20A,114,49.016667,2.283333
95680,55.10Z,10,49.016667,2.283333
95680,66.21Z,1,49.016667,2.283333
95680,64.21,1,49.016667,2.283333
95680,92.6A,1,49.016667,2.283333
95680,42.11Z,1,49.016667,2.283333
95680,96.09Z,41,49.016667,2.283333
95680,52.6G,1,49.016667,2.283333
95680,60.09,5,49.016667,2.283333
95680,00.98,1,49.016667,2.283333
95680,33.2B,1,49.016667,2.283333
95680,80.10Z,21,49.016667,2.283333
95680,32.50A,8,49.016667,2.283333
95680,33.12Z,3,49.016667,2.283333
95680,13.99Z,2,49.016667,2.283333
95680,81.21Z,62,49.016667,2.283333
95680,74.2C,2,49.016667,2.283333
95680,77.11A,8,49.016667,2.283333
95680,35.11Z,6,49.016667,2.283333
95680,18.12Z,4,49.016667,2.283333
95680,52.23Z,1,49.016667,2.283333
95680,55.1D,1,49.016667,2.283333
95680,43.12A,10,49.016667,2.283333
95680,52.2E,1,49.016667,2.283333
95680,51.4L,3,49.016667,2.283333
95680,74.8J,1,49.016667,2.283333
95680,69.24,1,49.016667,2.283333
95680,47.41Z,5,49.016667,2.283333
95680,70.3D,1,49.016667,2.283333
95680,74.10,1,49.016667,2.283333
95680,74.4A,5,49.016667,2.283333
95680,84.10,4,49.016667,2.283333
95680,46.52Z,1,49.016667,2.283333
95680,51.8J,3,49.016667,2.283333
95680,64.13,2,49.016667,2.283333
95680,47.72B,2,49.016667,2.283333
95680,47.91A,28,49.016667,2.283333
95680,92.3F,2,49.016667,2.283333
95680,52.4C,15,49.016667,2.283333
95680,51.11,1,49.016667,2.283333
95680,33.20D,1,49.016667,2.283333
95680,93.0B,2,49.016667,2.283333
95680,46.73A,8,49.016667,2.283333
95680,64.2C,2,49.016667,2.283333
95680,45.40Z,2,49.016667,2.283333
95680,55.1A,4,49.016667,2.283333
95680,58.04,1,49.016667,2.283333
95680,72.1Z,5,49.016667,2.283333
95680,41.10D,11,49.016667,2.283333
95680,67.08,3,49.016667,2.283333
95680,35.30Z,2,49.016667,2.283333
95680,01.13Z,3,49.016667,2.283333
95680,45.11Z,83,49.016667,2.283333
95680,74.2A,3,49.016667,2.283333
95680,01.49Z,5,49.016667,2.283333
95680,90.03B,13,49.016667,2.283333
95680,47.29Z,8,49.016667,2.283333
95680,14.19Z,7,49.016667,2.283333
95680,78.30Z,3,49.016667,2.283333
95680,47.30Z,5,49.016667,2.283333
95680,62.02B,6,49.016667,2.283333
95680,15.1A,1,49.016667,2.283333
95680,96.23,2,49.016667,2.283333
95680,18.2E,36,49.016667,2.283333
95680,53.20Z,102,49.016667,2.283333
95680,59.11C,1,49.016667,2.283333
95680,01.1A,2,49.016667,2.283333
95680,64.46,4,49.016667,2.283333
95680,32.04,1,49.016667,2.283333
95680,16.10A,1,49.016667,2.283333
95680,47.99B,8,49.016667,2.283333
95680,86.90B,5,49.016667,2.283333
95680,52.4H,4,49.016667,2.283333
95680,46.32A,3,49.016667,2.283333
95680,84.12,2,49.016667,2.283333
95680,41.20B,24,49.016667,2.283333
95680,17.2E,1,49.016667,2.283333
95680,51.1N,1,49.016667,2.283333
95680,47.09,1,49.016667,2.283333
95680,51.3V,1,49.016667,2.283333
95680,90.02Z,6,49.016667,2.283333
95680,86.90F,18,49.016667,2.283333
95680,68.32A,12,49.016667,2.283333
95680,85.1J,3,49.016667,2.283333
95680,51.4C,19,49.016667,2.283333
