codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
97111,47.99A,13,"",""
97111,64.11,1,"",""
97111,55.3A,17,"",""
97111,43.22A,18,"",""
97111,71.1A,1,"",""
97111,41.10A,5,"",""
97111,93.0D,3,"",""
97111,01.1F,8,"",""
97111,11.01Z,3,"",""
97111,01.11Z,1,"",""
97111,47.79Z,1,"",""
97111,49.41A,2,"",""
97111,52.4Z,7,"",""
97111,95.29Z,1,"",""
97111,68.20A,50,"",""
97111,05.0A,1,"",""
97111,55.40,1,"",""
97111,64.49,2,"",""
97111,14.2A,1,"",""
97111,49.32Z,15,"",""
97111,45.3E,2,"",""
97111,60.2E,3,"",""
97111,80.04,1,"",""
97111,55.60,5,"",""
97111,36.6E,1,"",""
97111,56.30Z,3,"",""
97111,64.1C,1,"",""
97111,32.99Z,3,"",""
97111,15.8B,1,"",""
97111,52.21Z,1,"",""
97111,36.00Z,2,"",""
97111,95.11Z,5,"",""
97111,56.21Z,11,"",""
97111,62.11,29,"",""
97111,85.1C,1,"",""
97111,50.2Z,3,"",""
97111,46.49Z,1,"",""
97111,47.52A,4,"",""
97111,01.47Z,1,"",""
97111,45.4J,3,"",""
97111,73.20Z,1,"",""
97111,43.34Z,20,"",""
97111,93.19Z,5,"",""
97111,81.29B,1,"",""
97111,72.20Z,2,"",""
97111,52.4X,2,"",""
97111,64.20Z,3,"",""
97111,52.7H,1,"",""
97111,86.90E,19,"",""
97111,90.01Z,9,"",""
97111,01.43Z,1,"",""
97111,46.71Z,2,"",""
97111,85.31Z,1,"",""
97111,47.82Z,4,"",""
97111,43.32B,10,"",""
97111,94.91Z,2,"",""
97111,47.75Z,2,"",""
97111,52.2G,3,"",""
97111,94.92Z,1,"",""
97111,56.10C,62,"",""
97111,74.10Z,7,"",""
97111,74.90A,2,"",""
97111,43.91A,13,"",""
97111,82.11Z,5,"",""
97111,10.32Z,1,"",""
97111,46.44Z,1,"",""
97111,81.30Z,20,"",""
97111,84.11Z,6,"",""
97111,01.4B,2,"",""
97111,42.21Z,1,"",""
97111,20.42Z,1,"",""
97111,10.13B,1,"",""
97111,55.2C,1,"",""
97111,66.30Z,1,"",""
97111,45.4D,3,"",""
97111,95.22Z,1,"",""
97111,"",4,"",""
97111,17.3Z,1,"",""
97111,43.39Z,12,"",""
97111,01.3Z,4,"",""
97111,22.29B,2,"",""
97111,43.12B,1,"",""
97111,55.20Z,109,"",""
97111,93.12Z,17,"",""
97111,43.22B,2,"",""
97111,43.32A,13,"",""
97111,46.42Z,1,"",""
97111,74.1G,1,"",""
97111,74.30Z,1,"",""
97111,47.11B,26,"",""
97111,47.11C,3,"",""
97111,79.11Z,2,"",""
97111,36.1G,2,"",""
97111,96.03Z,1,"",""
97111,52.2P,2,"",""
97111,52.2A,1,"",""
97111,71.1Z,7,"",""
97111,45.2L,2,"",""
97111,84.30A,1,"",""
97111,86.23Z,1,"",""
97111,55.4B,1,"",""
97111,52.6E,1,"",""
97111,10.85Z,2,"",""
97111,43.33Z,7,"",""
97111,68.32B,1,"",""
97111,74.1J,1,"",""
97111,14.1A,1,"",""
97111,74.20Z,4,"",""
97111,47.22Z,4,"",""
97111,56.10A,99,"",""
97111,86.90D,42,"",""
97111,51.1R,3,"",""
97111,85.32Z,1,"",""
97111,96.02A,11,"",""
97111,82.19Z,2,"",""
97111,46.19B,15,"",""
97111,71.2A,1,"",""
97111,55.3B,10,"",""
97111,47.23Z,1,"",""
97111,73.12Z,2,"",""
97111,45.3A,6,"",""
97111,69.12,2,"",""
97111,70.1C,2,"",""
97111,64.24,1,"",""
97111,50.30Z,2,"",""
97111,94.12Z,1,"",""
97111,50.10Z,5,"",""
97111,43.91B,1,"",""
97111,94.99Z,43,"",""
97111,77.29Z,7,"",""
97111,15.09,1,"",""
97111,49.31Z,2,"",""
97111,70.10Z,1,"",""
97111,14.13Z,3,"",""
97111,47.76Z,1,"",""
97111,62.45,1,"",""
97111,82.99Z,9,"",""
97111,79.90Z,1,"",""
97111,80.4A,1,"",""
97111,48.02,2,"",""
97111,63.12Z,1,"",""
97111,33.15Z,3,"",""
97111,01.30Z,10,"",""
97111,59.11B,1,"",""
97111,47.52B,1,"",""
97111,86.22C,1,"",""
97111,01.28Z,8,"",""
97111,67.01,11,"",""
97111,47.78C,15,"",""
97111,66.19B,2,"",""
97111,71.4B,2,"",""
97111,74.8A,1,"",""
97111,00.00Z,5,"",""
97111,87.03,1,"",""
97111,60.10Z,2,"",""
97111,46.34Z,4,"",""
97111,82.30Z,3,"",""
97111,69.23,1,"",""
97111,62.43,1,"",""
97111,47.64Z,3,"",""
97111,77.21Z,8,"",""
97111,72.3Z,1,"",""
97111,62.01Z,5,"",""
97111,10.82Z,1,"",""
97111,01.50Z,17,"",""
97111,01.22Z,25,"",""
97111,46.18Z,6,"",""
97111,10.71B,1,"",""
97111,66.29Z,1,"",""
97111,77.34Z,1,"",""
97111,52.3E,1,"",""
97111,77.12,1,"",""
97111,81.21,1,"",""
97111,01.45Z,2,"",""
97111,01.27Z,3,"",""
97111,01.1C,6,"",""
97111,55.2E,8,"",""
97111,85.53Z,5,"",""
97111,43.31Z,3,"",""
97111,91.3E,1,"",""
97111,28.3C,4,"",""
97111,45.4C,2,"",""
97111,47.54Z,1,"",""
97111,11.05Z,1,"",""
97111,47.24Z,3,"",""
97111,70.2C,1,"",""
97111,77.06,1,"",""
97111,47.71Z,13,"",""
97111,90.03A,3,"",""
97111,67.06,1,"",""
97111,45.1A,2,"",""
97111,77.39Z,4,"",""
97111,81.10Z,3,"",""
97111,46.61Z,1,"",""
97111,46.90Z,1,"",""
97111,49.39B,1,"",""
97111,01.2A,1,"",""
97111,86.21Z,8,"",""
97111,96.02B,8,"",""
97111,47.19B,3,"",""
97111,52.24B,2,"",""
97111,55.10,1,"",""
97111,85.52Z,3,"",""
97111,45.2A,4,"",""
97111,71.11Z,4,"",""
97111,52.2C,3,"",""
97111,47.73Z,2,"",""
97111,45.32Z,2,"",""
97111,74.8K,3,"",""
97111,47.81Z,18,"",""
97111,86.90A,3,"",""
97111,10.71D,1,"",""
97111,01.41Z,1,"",""
97111,68.31Z,5,"",""
97111,25.11Z,2,"",""
97111,01.42Z,17,"",""
97111,88.10A,2,"",""
97111,85.59B,5,"",""
97111,85.59A,10,"",""
97111,62.44,1,"",""
97111,80.08,2,"",""
97111,33.14Z,1,"",""
97111,43.99C,34,"",""
97111,49.41B,11,"",""
97111,70.21Z,3,"",""
97111,10.71C,7,"",""
97111,88.10B,1,"",""
97111,45.20A,8,"",""
97111,96.22,1,"",""
97111,96.04Z,8,"",""
97111,67.04,1,"",""
97111,41.20A,7,"",""
97111,55.10Z,25,"",""
97111,92.6A,1,"",""
97111,96.09Z,8,"",""
97111,60.09,3,"",""
97111,91.04Z,3,"",""
97111,77.11A,22,"",""
97111,81.21Z,11,"",""
97111,20.3Z,2,"",""
97111,82.91Z,1,"",""
97111,18.12Z,3,"",""
97111,35.11Z,1,"",""
97111,03.11Z,44,"",""
97111,43.12A,9,"",""
97111,92.1C,1,"",""
97111,10.11Z,2,"",""
97111,64.13,1,"",""
97111,47.91A,1,"",""
97111,52.4C,3,"",""
97111,93.0B,1,"",""
97111,33.20D,1,"",""
97111,46.73A,1,"",""
97111,55.1A,4,"",""
97111,41.10D,4,"",""
97111,67.08,3,"",""
97111,01.14Z,12,"",""
97111,01.13Z,11,"",""
97111,28.13,1,"",""
97111,59.12Z,1,"",""
97111,90.03B,5,"",""
