codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
97122,47.99A,15,"",""
97122,33.20A,3,"",""
97122,58.19Z,1,"",""
97122,64.11,3,"",""
97122,63.99Z,1,"",""
97122,70.3A,2,"",""
97122,87.30A,1,"",""
97122,55.3A,25,"",""
97122,65.12Z,1,"",""
97122,43.22A,5,"",""
97122,71.1A,1,"",""
97122,93.0D,2,"",""
97122,01.1F,1,"",""
97122,01.11Z,7,"",""
97122,38.22Z,2,"",""
97122,52.3A,1,"",""
97122,49.41A,5,"",""
97122,52.4Z,5,"",""
97122,92.3A,1,"",""
97122,95.29Z,3,"",""
97122,47.65Z,1,"",""
97122,60.01,1,"",""
97122,68.20A,16,"",""
97122,55.40,1,"",""
97122,05.0A,2,"",""
97122,64.49,1,"",""
97122,49.32Z,13,"",""
97122,80.04,2,"",""
97122,60.2E,1,"",""
97122,55.60,6,"",""
97122,36.6E,1,"",""
97122,56.30Z,1,"",""
97122,36.00Z,2,"",""
97122,56.21Z,6,"",""
97122,95.11Z,1,"",""
97122,62.11,47,"",""
97122,85.1C,2,"",""
97122,50.2Z,3,"",""
97122,46.49Z,1,"",""
97122,45.4J,6,"",""
97122,47.52A,3,"",""
97122,01.47Z,2,"",""
97122,77.32Z,2,"",""
97122,43.34Z,12,"",""
97122,80.20Z,2,"",""
97122,93.19Z,1,"",""
97122,52.4X,1,"",""
97122,93.0N,6,"",""
97122,25.12Z,3,"",""
97122,64.20Z,2,"",""
97122,46.13Z,2,"",""
97122,86.90E,25,"",""
97122,85.31Z,3,"",""
97122,46.71Z,3,"",""
97122,90.01Z,7,"",""
97122,71.3G,1,"",""
97122,38.11Z,1,"",""
97122,71.20A,1,"",""
97122,82.20Z,1,"",""
97122,43.32B,3,"",""
97122,80.4C,3,"",""
97122,47.82Z,4,"",""
97122,47.75Z,3,"",""
97122,94.91Z,3,"",""
97122,42.22Z,1,"",""
97122,52.2G,1,"",""
97122,56.10C,43,"",""
97122,74.10Z,2,"",""
97122,74.90A,1,"",""
97122,82.11Z,7,"",""
97122,43.91A,2,"",""
97122,81.30Z,10,"",""
97122,64.41,1,"",""
97122,84.11Z,12,"",""
97122,77.08,1,"",""
97122,66.30Z,1,"",""
97122,95.22Z,1,"",""
97122,"",7,"",""
97122,45.4D,1,"",""
97122,77.14,1,"",""
97122,01.3Z,27,"",""
97122,01.4A,4,"",""
97122,10.52Z,1,"",""
97122,43.39Z,1,"",""
97122,55.20Z,11,"",""
97122,87.01,1,"",""
97122,93.12Z,14,"",""
97122,94.11Z,2,"",""
97122,43.22B,4,"",""
97122,69.22,1,"",""
97122,43.32A,7,"",""
97122,46.42Z,1,"",""
97122,28.1C,2,"",""
97122,58.12,1,"",""
97122,47.01,1,"",""
97122,74.1G,2,"",""
97122,51.1A,1,"",""
97122,74.30Z,1,"",""
97122,47.11B,35,"",""
97122,47.11C,3,"",""
97122,96.03Z,2,"",""
97122,70.1F,1,"",""
97122,79.11Z,1,"",""
97122,47.61Z,1,"",""
97122,52.2A,3,"",""
97122,52.2P,1,"",""
97122,64.19Z,2,"",""
97122,59.20Z,2,"",""
97122,65.06,2,"",""
97122,45.2L,1,"",""
97122,71.1Z,1,"",""
97122,84.30A,1,"",""
97122,21.07,1,"",""
97122,01.24Z,2,"",""
97122,23.63Z,2,"",""
97122,86.23Z,2,"",""
97122,46.38B,2,"",""
97122,49.39A,3,"",""
97122,55.4B,4,"",""
97122,62.42,1,"",""
97122,22.2J,1,"",""
97122,10.85Z,1,"",""
97122,25.1C,3,"",""
97122,43.33Z,5,"",""
97122,01.80,3,"",""
97122,47.22Z,2,"",""
97122,74.20Z,2,"",""
97122,56.10A,40,"",""
97122,86.90D,63,"",""
97122,96.02A,8,"",""
97122,51.1R,5,"",""
97122,82.19Z,3,"",""
97122,46.19B,6,"",""
97122,47.23Z,1,"",""
97122,31.09B,3,"",""
97122,55.3B,7,"",""
97122,77.31Z,1,"",""
97122,69.12,3,"",""
97122,45.3A,5,"",""
97122,63.05,2,"",""
97122,33.19Z,1,"",""
97122,64.24,1,"",""
97122,94.12Z,2,"",""
97122,94.99Z,89,"",""
97122,47.76Z,1,"",""
97122,77.29Z,4,"",""
97122,62.45,3,"",""
97122,14.13Z,4,"",""
97122,85.60Z,1,"",""
97122,49.31Z,1,"",""
97122,82.99Z,11,"",""
97122,47.21Z,4,"",""
97122,79.90Z,2,"",""
97122,41.10C,1,"",""
97122,80.4A,3,"",""
97122,23.41Z,1,"",""
97122,48.02,1,"",""
97122,63.12Z,1,"",""
97122,86.06,1,"",""
97122,46.16Z,1,"",""
97122,15.8A,1,"",""
97122,33.15Z,2,"",""
97122,94.20Z,1,"",""
97122,51.3S,2,"",""
97122,59.11B,1,"",""
97122,47.52B,2,"",""
97122,86.22C,1,"",""
97122,01.28Z,2,"",""
97122,67.01,7,"",""
97122,47.78C,8,"",""
97122,66.19B,1,"",""
97122,71.4B,2,"",""
97122,63.11Z,2,"",""
97122,47.72A,3,"",""
97122,64.47,1,"",""
97122,00.00Z,5,"",""
97122,82.30Z,3,"",""
97122,62.43,12,"",""
97122,47.64Z,1,"",""
97122,77.21Z,3,"",""
97122,55.73,2,"",""
97122,62.01Z,2,"",""
97122,55.71,3,"",""
97122,10.82Z,2,"",""
97122,42.99Z,1,"",""
97122,01.50Z,87,"",""
97122,01.22Z,6,"",""
97122,46.18Z,6,"",""
97122,62.41,2,"",""
97122,10.71B,2,"",""
97122,46.33Z,1,"",""
97122,52.3E,3,"",""
97122,64.30,1,"",""
97122,81.21,1,"",""
97122,01.45Z,2,"",""
97122,77.12,1,"",""
97122,55.2E,1,"",""
97122,01.1C,1,"",""
97122,40.21,1,"",""
97122,91.3E,1,"",""
97122,85.53Z,7,"",""
97122,43.31Z,2,"",""
97122,45.4C,2,"",""
97122,47.54Z,2,"",""
97122,70.2C,3,"",""
97122,47.24Z,2,"",""
97122,95.24Z,1,"",""
97122,47.71Z,8,"",""
97122,90.03A,3,"",""
97122,45.1A,2,"",""
97122,51.7Z,1,"",""
97122,15.9B,1,"",""
97122,46.39B,1,"",""
97122,77.39Z,1,"",""
97122,61.90Z,1,"",""
97122,60.2B,4,"",""
97122,46.15Z,1,"",""
97122,46.90Z,2,"",""
97122,01.2A,5,"",""
97122,86.21Z,8,"",""
97122,96.02B,6,"",""
97122,47.19B,6,"",""
97122,85.52Z,2,"",""
97122,45.2A,2,"",""
97122,52.2C,8,"",""
97122,28.25Z,1,"",""
97122,47.73Z,4,"",""
97122,45.32Z,1,"",""
97122,74.8K,5,"",""
97122,80.01,1,"",""
97122,87.07,6,"",""
97122,47.81Z,15,"",""
97122,10.71D,3,"",""
97122,86.90A,1,"",""
97122,25.11Z,1,"",""
97122,68.31Z,4,"",""
97122,01.41Z,2,"",""
97122,88.10A,13,"",""
97122,01.42Z,21,"",""
97122,64.22,2,"",""
97122,10.13A,1,"",""
97122,85.59A,12,"",""
97122,85.59B,9,"",""
97122,93.0H,1,"",""
97122,62.44,6,"",""
97122,80.08,1,"",""
97122,43.99C,30,"",""
97122,49.41B,21,"",""
97122,64.92Z,1,"",""
97122,70.21Z,1,"",""
97122,10.71C,16,"",""
97122,46.31Z,2,"",""
97122,15.1F,1,"",""
97122,01.61Z,11,"",""
97122,82.92Z,2,"",""
97122,45.20A,20,"",""
97122,43.99E,2,"",""
97122,67.04,1,"",""
97122,96.04Z,1,"",""
97122,41.20A,7,"",""
97122,55.10Z,3,"",""
97122,92.6A,1,"",""
97122,96.09Z,9,"",""
97122,32.50A,1,"",""
97122,77.11A,17,"",""
97122,81.21Z,7,"",""
97122,20.3Z,2,"",""
97122,74.2C,1,"",""
97122,35.11Z,6,"",""
97122,18.12Z,1,"",""
97122,03.11Z,41,"",""
97122,43.12A,13,"",""
97122,52.2E,1,"",""
97122,47.41Z,2,"",""
97122,84.10,1,"",""
97122,84.30C,1,"",""
97122,74.4A,1,"",""
97122,10.11Z,4,"",""
97122,86.04,1,"",""
97122,64.13,1,"",""
97122,47.91A,2,"",""
97122,52.4C,4,"",""
97122,46.73A,1,"",""
97122,30.11Z,1,"",""
97122,10.39A,1,"",""
97122,72.1Z,1,"",""
97122,01.14Z,192,"",""
97122,01.13Z,15,"",""
97122,41.10D,1,"",""
97122,45.11Z,2,"",""
97122,90.03B,7,"",""
97122,59.12Z,1,"",""
97122,01.49Z,2,"",""
97122,47.29Z,2,"",""
97122,16.23Z,4,"",""
97122,47.30Z,5,"",""
97122,78.30Z,2,"",""
97122,01.1A,21,"",""
97122,53.20Z,1,"",""
97122,71.3A,1,"",""
97122,10.72Z,1,"",""
97122,01.1D,1,"",""
97122,47.99B,7,"",""
97122,01.19Z,3,"",""
97122,84.12,1,"",""
97122,41.20B,5,"",""
97122,90.02Z,6,"",""
97122,68.32A,1,"",""
97122,85.1J,1,"",""
97122,86.90F,2,"",""
97122,91.03Z,4,"",""
97122,32.50B,2,"",""
97122,01.46Z,2,"",""
97122,46.38A,2,"",""
97122,45.4F,1,"",""
97122,50.5Z,2,"",""
97122,68.10Z,2,"",""
97122,84.13Z,2,"",""
97122,62.09Z,1,"",""
97122,70.22Z,23,"",""
97122,01.62Z,2,"",""
97122,71.20B,1,"",""
97122,52.4W,1,"",""
97122,64.25,1,"",""
97122,66.22Z,2,"",""
97122,52.4A,1,"",""
97122,62.46,2,"",""
97122,45.3C,1,"",""
97122,47.25Z,1,"",""
97122,92.00Z,1,"",""
97122,00.0Z,1,"",""
97122,45.2K,1,"",""
97122,47.91B,1,"",""
97122,51.6C,1,"",""
97122,62.02A,4,"",""
97122,96.01A,1,"",""
97122,32.13Z,2,"",""
97122,69.20Z,6,"",""
97122,54.10,1,"",""
97122,45.2B,2,"",""
97122,88.99B,14,"",""
97122,52.4N,2,"",""
97122,93.29Z,18,"",""
97122,10.20Z,3,"",""
97122,88.91A,3,"",""
97122,38.40,2,"",""
97122,73.11Z,6,"",""
97122,47.89Z,6,"",""
97122,52.4J,2,"",""
97122,92.6C,3,"",""
97122,45.2V,24,"",""
97122,85.51Z,9,"",""
97122,65.03,1,"",""
97122,52.1B,28,"",""
97122,43.21A,21,"",""
97122,59.11A,1,"",""
97122,66.19A,2,"",""
97122,64.43,1,"",""
97122,53.10Z,3,"",""
97122,82.03,1,"",""
97122,74.90B,3,"",""
97122,66.02,1,"",""
97122,18.13Z,4,"",""
97122,10.51C,1,"",""
97122,71.12B,3,"",""
97122,55.72,2,"",""
97122,52.6D,10,"",""
97122,68.20B,30,"",""
97122,60.2L,7,"",""
97122,51.8G,1,"",""
97122,15.8C,1,"",""
97122,74.8F,2,"",""
