codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
97211,47.99A,1,"",""
97211,58.19Z,1,"",""
97211,64.11,3,"",""
97211,55.3A,4,"",""
97211,65.12Z,1,"",""
97211,93.0D,1,"",""
97211,01.1F,1,"",""
97211,64.49,1,"",""
97211,68.20A,2,"",""
97211,49.32Z,4,"",""
97211,46.46Z,1,"",""
97211,55.60,1,"",""
97211,36.6E,1,"",""
97211,62.11,5,"",""
97211,43.34Z,3,"",""
97211,64.20Z,1,"",""
97211,47.75Z,1,"",""
97211,94.91Z,1,"",""
97211,56.10C,4,"",""
97211,81.30Z,1,"",""
97211,84.11Z,6,"",""
97211,01.4B,1,"",""
97211,63.3Z,2,"",""
97211,69.22,2,"",""
97211,93.12Z,3,"",""
97211,36.1G,1,"",""
97211,47.11B,5,"",""
97211,52.2P,2,"",""
97211,43.32C,1,"",""
97211,01.24Z,2,"",""
97211,49.39A,7,"",""
97211,56.10A,8,"",""
97211,86.90D,3,"",""
97211,55.3B,2,"",""
97211,47.23Z,1,"",""
97211,45.3A,2,"",""
97211,85.20Z,1,"",""
97211,69.12,1,"",""
97211,50.10Z,1,"",""
97211,94.99Z,9,"",""
97211,70.10Z,1,"",""
97211,49.31Z,1,"",""
97211,79.90Z,3,"",""
97211,01.30Z,1,"",""
97211,52.2J,1,"",""
97211,67.01,1,"",""
97211,62.43,2,"",""
97211,62.01Z,1,"",""
97211,42.99Z,1,"",""
97211,01.50Z,2,"",""
97211,62.41,2,"",""
97211,01.22Z,1,"",""
97211,43.99D,1,"",""
97211,66.0G,1,"",""
97211,60.2B,4,"",""
97211,45.32Z,1,"",""
97211,47.81Z,2,"",""
97211,88.10A,1,"",""
97211,85.59A,1,"",""
97211,62.44,6,"",""
97211,49.41B,3,"",""
97211,10.71C,1,"",""
97211,15.1F,1,"",""
97211,33.12Z,1,"",""
97211,77.11A,1,"",""
97211,35.11Z,3,"",""
97211,18.12Z,1,"",""
97211,03.11Z,13,"",""
97211,43.12A,2,"",""
97211,55.1A,1,"",""
97211,01.13Z,4,"",""
97211,01.14Z,3,"",""
97211,47.30Z,2,"",""
97211,08.12Z,1,"",""
97211,53.20Z,1,"",""
97211,47.99B,1,"",""
97211,41.20B,1,"",""
97211,70.22Z,2,"",""
97211,71.20B,1,"",""
97211,62.46,1,"",""
97211,88.99B,2,"",""
97211,88.91A,1,"",""
97211,38.40,1,"",""
97211,55.5D,1,"",""
97211,55.4A,1,"",""
97211,45.2V,1,"",""
97211,52.1B,3,"",""
97211,53.10Z,2,"",""
97211,52.6D,3,"",""
97211,68.20B,11,"",""
97211,01.10,1,"",""
97211,60.2L,1,"",""
97211,15.8C,2,"",""
