activitePrincipaleUniteLegale,count
47.99A,779
58.19Z,15
45.20B,13
33.20A,41
71.3E,1
70.3A,103
64.11,262
63.99Z,7
87.30A,26
61.10Z,24
15.8P,7
45.3H,5
34.2A,1
55.3A,600
46.45Z,43
65.12Z,111
92.14,1
45.1B,1
43.22A,559
47.04,26
74.09,5
01.63Z,2
90.0E,2
15.5A,1
95.12Z,5
71.1A,8
22.1E,10
31.01Z,4
51.9B,3
32.2B,1
64.40,17
41.10A,106
26.2A,54
67.05,30
16.01,2
93.0D,147
89.05,4
58.01,1
01.1F,52
60.2N,3
02.10Z,22
11.01Z,15
43.11Z,3
14.39Z,8
73.08,1
01.44Z,2
00.97,410
01.11Z,1686
01.60,1
47.79Z,167
52.3A,34
84.11,18
67.12,9
23.19Z,24
28.30Z,3
38.22Z,2
65.02,85
49.41A,91
77.01,52
28.15,2
46.23Z,7
23.99Z,4
99.00Z,1
92.3A,160
52.4Z,232
95.29Z,142
64.23,32
47.65Z,34
43.99A,19
60.01,8
44.20,1
90.13,1
85.02,2
46.36Z,3
64.49,124
68.20A,4436
55.40,111
51.3A,27
85.1E,25
60.11,2
14.2A,4
01.50,3
51.3J,15
60.20B,2
49.32Z,256
60.2E,51
45.3E,125
53.05,3
80.04,3
84.24Z,2
46.46Z,7
55.60,610
52.22Z,3
36.6E,36
45.2J,7
55.31,2
56.30Z,568
15.8D,28
75.04,4
64.1C,7
18.20Z,1
86.22A,31
80.30Z,7
32.99Z,67
36.2C,6
72.2Z,13
15.8B,48
21.08,11
46.11Z,8
95.24,1
92.15,1
01.2E,1
49.01,34
52.21Z,31
36.00Z,32
91.02,1
54.05,2
56.21Z,119
52.29A,8
95.11Z,135
17.29Z,10
45.2C,2
28.12,2
62.11,263
20.4Z,2
85.1C,138
23.49Z,6
22.01,2
30.99Z,1
47.77Z,35
50.2Z,109
46.49Z,51
64.44,11
64.11Z,2
58.05,1
54.04,8
92.3J,1
47.52A,93
78.20Z,388
01.47Z,84
13.30Z,4
45.4J,121
11.07B,2
55.13,2
80.2C,1
77.32Z,33
73.20Z,14
15.13,5
52.4V,20
81.22Z,75
52.4Y,15
43.34Z,624
80.4D,41
88.99A,17
95.21Z,22
93.19Z,296
81.29B,48
36.4Z,2
80.20Z,4
17.4A,3
93.0N,88
52.4X,60
28.11Z,1
79.02,3
46.74A,14
47.02,7
25.61Z,7
72.20Z,13
54.08,1
92.5C,2
49.20Z,1
64.20Z,461
87.10A,39
52.7H,34
25.12Z,16
24.20Z,6
46.13Z,17
29.16,2
86.90E,1187
01.43Z,211
85.31Z,41
90.01Z,520
58.08,1
46.71Z,21
48.07,5
03.22Z,4
52.29B,5
71.3G,5
74.3B,7
51.5C,3
17.5G,1
71.20A,44
77.10,22
29.3C,8
82.20Z,11
46.73B,18
51.5A,6
59.13,3
38.11Z,20
31.13,1
00.11,1
47.82Z,316
80.4C,28
43.32B,168
01.07,4
40.1Z,1
52.2G,28
77.12Z,16
47.75Z,60
94.91Z,46
38.31Z,7
94.92Z,4
51.8P,2
42.22Z,15
15.07,2
15.8T,3
15.4C,1
56.10C,1185
74.10Z,206
52.4R,98
74.90A,62
01.16,5
33.20C,8
15.9G,3
54.02,1
40.34,1
82.11Z,132
43.91A,149
87.20A,32
51.8L,4
10.32Z,2
60.20A,3
46.44Z,13
55.4C,10
93.13Z,29
81.30Z,459
64.41,21
10.73Z,8
45.4L,4
86.10Z,73
49.05,22
20.16Z,1
28.5A,2
25.72Z,3
84.11Z,1292
01.4B,66
50.4Z,23
42.21Z,17
59.11,5
64.42,21
23.31Z,3
43.99B,8
29.3D,3
28.21Z,1
52.1F,3
20.42Z,51
22.23Z,9
52.02,1
80.2A,1
50.1Z,128
52.7C,18
36.5Z,8
25.2G,2
29.13,3
90.0A,9
79.12Z,7
35.13Z,11
63.3Z,20
20.15Z,4
46.12B,12
85.01,3
60.2P,2
17.7C,3
33.3Z,6
77.08,14
15.5C,2
63.4B,2
01.21Z,102
55.2C,73
13.91Z,4
66.30Z,60
10.13B,15
55.20,3
64.45,16
45.4D,32
"",60
95.22Z,50
60.04,3
54.07,4
35.23Z,7
70.2B,22
51.30,3
23.20Z,1
55.5A,5
20.14Z,4
18.2D,1
85.1G,262
77.14,40
92.1J,8
17.21B,3
33.11Z,6
17.3Z,2
60.3Z,1
41.08,1
43.39Z,323
01.3Z,128
43.12B,8
01.4A,33
10.52Z,7
22.29B,4
37.02,3
34.3Z,1
25.1E,1
96.16,1
55.20Z,627
87.01,33
02.10,4
24.6G,1
93.12Z,806
43.22B,203
69.22,26
43.29B,45
72.11Z,5
94.11Z,64
25.2H,2
87.02,1
43.32A,460
01.2G,14
46.42Z,24
11.02B,5
15.11Z,3
46.24Z,2
00.10,103
56.29B,34
15.8M,7
00.30,2
44.42,1
28.1C,3
60.07,9
93.11Z,66
85.3H,3
59.12,7
25.62B,26
58.12,8
29.31Z,3
58.06,9
69.25,6
72.19Z,35
74.1G,81
46.22Z,5
67.09,35
47.01,3
72.5Z,14
85.3E,2
74.30Z,120
21.11,8
57.11,6
51.1A,3
47.11B,353
47.11C,55
36.1G,24
70.1F,30
79.11Z,74
38.32Z,45
96.03Z,81
63.4A,6
84.30B,3
20.13B,2
52.2A,36
52.2P,83
47.61Z,30
92.3B,15
57.02,13
30.02,1
46.66Z,8
20.5C,1
65.06,88
64.19Z,164
45.2L,17
59.20Z,31
46.41Z,4
86.10,19
53.04,1
84.30A,22
51.8N,1
71.1Z,7
30.30Z,1
80.02,4
26.6E,6
87.06,19
51.5H,2
32.1B,1
43.32C,15
01.24Z,330
13.92Z,32
65.2E,6
59.13B,7
55.70,17
21.07,9
23.63Z,8
02.20Z,75
86.23Z,260
49.39A,52
46.38B,28
51.8H,4
39.00Z,4
55.4B,285
37.00Z,16
20.53Z,66
36.6A,9
03.21Z,1
21.2C,1
22.2J,16
62.42,9
67.13,39
71.12A,46
46.17B,13
37.01,2
52.6E,261
86.08,3
96.25,3
26.20Z,3
35.3B,2
21.2L,1
10.85Z,30
97.22,3
47.74Z,72
26.7Z,6
55.11,5
25.1C,3
43.33Z,241
74.1J,221
20.41Z,29
68.32B,30
45.5Z,3
73.07,2
44.21,6
74.20Z,230
64.12,39
47.22Z,163
14.1A,7
67.1E,6
01.80,43
16.10B,4
85.3B,1
37.2Z,5
17.2A,1
74.08,1
56.10A,1400
64.30Z,44
47.11D,83
51.3T,12
46.72Z,4
86.01,1
86.90D,1782
96.02A,618
85.32Z,38
51.1R,52
82.19Z,244
24.5A,10
55.90Z,16
36.1E,2
46.19B,525
71.2A,4
29.5P,1
78.02,65
31.09B,121
01.25Z,33
77.31Z,118
55.3B,263
47.23Z,22
28.4A,2
69.12,34
45.3A,148
48.05,3
63.05,28
46.69B,46
73.12Z,17
85.42Z,20
85.20Z,5
57.04,6
31.16,2
33.19Z,4
51.5N,2
29.11,5
47.11E,2
23.32Z,1
55.1E,1
70.1C,78
01.00,95
52.4E,49
64.24,51
46.76Z,16
51.3C,4
77.04,4
38.12Z,2
60.05,2
45.2D,1
58.11,1
55.30Z,199
29.2C,2
86.11,6
52.7D,18
94.12Z,54
59.07,5
10.89Z,43
50.30Z,5
61.01,3
61.20Z,8
51.3N,1
29.5N,1
89.04,1
43.91B,37
87.04,15
47.53Z,10
50.10Z,1
72.2A,2
15.5F,1
36.10,4
67.2Z,90
94.99Z,2766
81.11,32
21.20Z,1
92.18,1
47.76Z,162
77.29Z,43
70.10Z,153
62.45,17
24.4C,2
31.5C,2
14.13Z,71
77.05,28
08.11Z,9
85.60Z,16
01.4D,3
49.31Z,6
10.71A,3
82.06,19
45.2F,2
91.02Z,1
47.21Z,75
82.99Z,200
01.57,8
02.20,66
79.90Z,77
47.59A,94
32.20Z,15
41.10C,7
28.99B,6
66.12Z,5
46.37Z,2
23.41Z,167
80.4A,22
85.1A,12
01.63,3
22.2A,1
36.1K,20
48.02,5
78.10Z,9
79.05,1
47.19A,4
17.27,1
86.06,44
15.12Z,58
63.12Z,30
79.06,74
45.3F,21
52.7A,7
75.1G,5
18.11,2
11.07A,1
51.4N,5
51.6N,7
56.29A,50
93.21Z,58
33.15Z,12
20.1A,12
39.02,3
26.1J,4
92.21,2
28.12Z,1
15.8A,1
95.22,1
94.20Z,34
38.50,37
49.10Z,13
61.2Z,1
24.03,5
90.04Z,23
91.1C,3
00.99,3
20.59Z,1
25.50B,3
51.1T,76
01.30Z,65
02.0D,25
59.11B,37
50.3B,16
