activitePrincipaleUniteLegale,count
47.99A,3931
33.20A,93
25.73B,7
45.20B,46
58.19Z,37
31.03Z,17
71.3E,8
48.04,6
14.31Z,1
64.11,572
70.3A,302
93.0A,11
15.8P,6
61.10Z,73
87.30A,47
34.2A,7
10.31Z,3
63.99Z,6
45.3H,5
35.4A,1
55.3A,1132
46.45Z,56
65.12Z,407
01.56,6
45.1B,14
92.14,7
93.21,4
43.22A,859
95.12Z,30
47.04,116
90.0E,1
01.63Z,1
74.09,5
15.5A,1
51.9B,15
22.1E,37
71.1A,8
32.2B,11
31.01Z,31
41.10A,229
67.05,106
16.01,6
64.40,28
26.2A,3
93.0D,365
58.01,10
89.05,5
02.10Z,324
43.11Z,16
14.39Z,6
11.01Z,52
01.1F,48
60.2N,10
01.44Z,6
00.97,235
01.11Z,3110
47.79Z,462
52.3A,85
84.11,61
23.19Z,14
01.60,5
38.22Z,5
28.30Z,14
67.12,2
27.4D,2
65.02,189
49.41A,324
77.01,116
17.12,1
28.15,6
46.23Z,47
29.4C,1
99.00Z,3
23.99Z,24
23.01,4
21.09,1
24.06,2
09.90Z,2
92.3A,240
60.01,6
47.65Z,63
52.4Z,350
64.23,79
95.29Z,340
43.99A,136
44.18,2
46.36Z,6
29.4B,1
25.2A,5
90.13,4
44.23,2
68.20A,3560
85.1E,105
64.49,291
51.3J,254
55.40,188
51.3A,42
01.50,7
60.20B,7
14.2A,16
60.11,1
05.0A,1
49.32Z,679
45.3E,233
60.2E,129
46.46Z,71
53.05,7
84.24Z,13
80.04,14
44.25,1
18.1Z,2
55.60,587
45.2J,117
55.31,6
36.6E,29
45.2R,3
52.22Z,4
56.30Z,640
86.22A,220
22.19Z,13
15.8D,56
80.30Z,10
18.20Z,4
85.10Z,6
64.1C,10
75.04,1
32.99Z,122
74.5A,29
36.2C,7
21.08,35
72.2Z,63
82.04,6
15.8B,43
01.2E,11
92.15,5
46.11Z,20
99.0Z,1
49.01,111
36.00Z,59
52.21Z,112
91.02,2
93.11,1
56.21Z,322
95.11Z,322
45.2C,4
52.29A,90
17.29Z,29
54.05,4
28.12,1
96.21,1
62.11,298
85.1C,463
20.4Z,15
23.49Z,7
30.99Z,1
50.2Z,331
46.49Z,278
47.77Z,123
58.05,9
64.44,15
64.11Z,2
54.04,8
92.3J,2
45.4J,476
01.47Z,93
78.20Z,251
80.2C,7
47.52A,140
13.30Z,14
18.2G,2
55.13,1
11.07B,1
86.90C,3
77.32Z,53
70.02,45
73.20Z,48
51.1G,18
15.13,6
81.22Z,152
52.4V,66
27.5G,1
52.4Y,21
43.34Z,1568
80.4D,136
95.21Z,46
22.1G,9
88.99A,9
44.32,1
29.5M,1
93.19Z,347
81.29B,53
80.20Z,61
17.4A,9
21.02,1
36.4Z,8
28.10,1
93.0N,171
52.4X,169
72.20Z,84
92.5C,8
25.61Z,45
54.08,24
46.74A,28
47.02,7
17.5C,1
79.02,9
42.91Z,5
49.20Z,10
28.11Z,4
11.04Z,2
33.1A,2
64.20Z,1851
87.10A,60
52.7H,46
24.20Z,9
20.1B,19
46.13Z,43
25.12Z,51
29.16,1
13.10,1
85.31Z,103
90.01Z,1683
86.90E,3280
01.43Z,206
03.22Z,26
74.3B,18
52.29B,129
71.3G,28
17.5G,4
46.71Z,115
58.08,10
48.07,7
51.5C,3
25.01,5
46.73B,67
77.10,72
82.20Z,96
71.20A,129
66.0A,8
29.3C,38
59.13,40
51.5A,9
38.11Z,53
31.13,2
44.41,3
47.82Z,394
43.32B,352
40.1Z,4
80.4C,128
01.07,33
17.12Z,4
17.7A,1
47.75Z,101
38.31Z,34
51.8P,8
42.22Z,61
94.91Z,232
77.12Z,31
15.8T,1
52.2G,31
50.03,1
94.92Z,16
40.33,2
15.07,3
52.4R,204
56.10C,1695
74.90A,143
74.10Z,578
33.20C,63
88.04,26
54.02,8
32.03,2
15.9G,8
28.2A,1
82.11Z,246
43.91A,209
10.32Z,5
06.01,2
87.20A,31
51.8L,13
60.20A,2
40.2C,1
55.4C,13
93.13Z,63
46.44Z,40
27.5C,1
81.30Z,695
64.41,71
25.72Z,11
86.10Z,222
49.05,49
45.4L,18
28.5A,19
10.73Z,6
20.16Z,6
58.07,2
84.11Z,3074
01.4B,66
43.99B,29
42.21Z,29
29.3D,20
59.11,37
50.4Z,36
64.42,18
28.21Z,1
17.24Z,1
23.31Z,3
80.2A,6
20.42Z,21
22.23Z,16
45.2N,2
52.02,3
52.7C,44
50.1Z,269
90.0A,67
79.12Z,62
29.13,5
36.5Z,8
63.3Z,19
