activitePrincipaleUniteLegale,count
47.99A,3978
33.20A,133
58.19Z,88
25.73B,24
45.20B,109
48.04,9
31.03Z,23
71.3E,3
70.3A,662
64.11,977
61.10Z,111
63.99Z,31
95.13,13
45.3H,6
87.30A,40
34.2A,19
93.0A,13
15.8P,12
03.40,1
10.31Z,2
55.3A,2381
46.45Z,94
65.12Z,536
45.1B,15
92.14,15
01.56,9
93.21,1
43.22A,1377
47.04,298
95.12Z,49
15.5A,17
90.0E,4
74.09,4
01.63Z,1
31.01Z,46
22.1E,85
51.3Q,4
32.2B,31
71.1A,26
51.9B,28
25.62A,4
41.10A,624
64.40,74
67.05,153
16.01,14
26.2A,2
93.0D,625
92.13,6
89.05,12
58.01,7
23.65Z,4
73.08,5
02.10Z,219
01.1F,84
43.11Z,75
60.2N,15
11.01Z,37
14.39Z,21
01.44Z,2
01.11Z,2804
84.11,110
52.3A,178
47.79Z,674
67.12,11
38.22Z,16
23.19Z,48
00.97,33
01.60,29
28.30Z,36
65.02,177
49.41A,741
46.23Z,173
77.01,128
24.06,2
99.00Z,2
21.09,2
28.15,3
23.99Z,20
23.01,1
24.3Z,6
09.90Z,3
52.4Z,565
92.3A,406
60.01,51
64.23,97
95.29Z,876
43.99A,137
85.02,3
47.65Z,117
46.36Z,9
90.13,5
25.2A,8
44.18,5
29.5B,1
29.4B,2
68.20A,7192
85.1E,211
55.40,231
64.49,333
05.0A,77
01.50,55
14.2A,15
51.3J,56
51.3A,42
60.20B,2
60.11,7
80.04,11
45.3E,324
49.32Z,964
46.46Z,182
60.2E,210
18.1Z,3
84.24Z,29
53.05,8
24.11,3
44.25,1
55.60,770
45.2J,276
55.31,7
36.6E,33
45.2R,1
52.22Z,9
73.09,1
15.8D,80
56.30Z,2113
86.22A,307
64.1C,28
22.19Z,15
80.30Z,38
18.20Z,18
85.10Z,9
75.04,1
15.5B,2
32.99Z,231
74.5A,45
36.2C,10
01.2E,210
15.8B,151
72.2Z,111
21.08,49
46.11Z,93
82.04,2
92.15,3
95.24,2
36.00Z,134
49.01,156
52.21Z,98
29.1D,6
91.02,2
93.11,1
95.11Z,591
56.21Z,522
52.29A,97
17.29Z,37
54.05,4
85.3A,4
96.21,4
45.2C,1
85.1C,715
62.11,557
20.4Z,11
23.49Z,6
22.01,2
46.49Z,628
50.2Z,454
64.44,22
47.77Z,278
92.3J,5
64.11Z,3
54.04,28
58.05,13
45.4J,571
01.47Z,444
78.20Z,920
11.07B,12
80.2C,17
47.52A,176
18.2G,9
13.30Z,20
86.90C,3
55.13,1
73.20Z,168
77.32Z,151
51.1G,12
15.13,1
81.22Z,341
52.4V,105
52.4Y,19
27.5G,2
43.34Z,2454
95.21Z,61
80.4D,157
88.99A,46
22.1G,24
93.19Z,664
15.9J,12
80.20Z,103
81.29B,81
36.4Z,2
21.02,3
17.4A,5
92.5A,1
28.10,1
52.4X,251
46.74A,69
72.20Z,130
93.0N,323
25.61Z,46
79.02,15
47.02,6
92.5C,20
28.11Z,7
42.91Z,21
49.20Z,5
54.08,20
33.1A,4
17.5C,5
11.04Z,2
64.20Z,6393
52.7H,69
46.13Z,73
87.10A,105
24.44Z,1
25.12Z,64
20.1B,10
24.20Z,9
01.43Z,515
90.01Z,3408
86.90E,7778
85.31Z,209
52.29B,204
58.08,10
46.71Z,127
17.5G,3
74.3B,42
71.3G,29
51.5C,4
48.07,19
03.22Z,19
01.74,1
77.10,151
71.20A,208
46.73B,144
38.11Z,120
31.13,12
59.13,41
29.3C,72
82.20Z,110
51.5A,38
44.41,5
25.01,5
00.11,1
66.0A,6
62.1Z,1
01.07,251
80.4C,272
47.82Z,739
43.32B,492
17.12Z,2
40.1Z,2
94.91Z,314
47.75Z,237
77.12Z,66
38.31Z,40
52.2G,62
42.22Z,71
94.92Z,19
51.8P,22
15.8T,5
15.07,4
74.90A,218
52.4R,362
74.10Z,1679
56.10C,2831
54.02,9
32.03,2
33.20C,35
88.04,6
40.34,2
24.05,2
82.11Z,561
43.91A,301
60.20A,3
87.20A,75
29.1A,4
10.32Z,15
51.8L,9
22.3C,1
40.2C,3
93.13Z,158
46.44Z,43
55.4C,19
61.1A,4
14.03,1
35.3A,1
81.30Z,1147
64.41,123
49.05,106
86.10Z,310
45.4L,25
25.72Z,12
10.73Z,4
28.5A,10
58.07,5
32.05,2
20.16Z,4
84.11Z,3444
29.3D,40
42.21Z,53
50.4Z,59
01.4B,95
59.11,31
43.99B,41
23.31Z,4
64.42,43
28.21Z,3
17.24Z,1
20.42Z,61
22.23Z,51
80.2A,12
52.1F,4
52.02,2
45.2N,2
74.06,2
50.1Z,358
90.0A,11
52.7C,68
46.12B,35
63.3Z,58
79.12Z,100
36.5Z,16
20.15Z,28
35.13Z,31
31.6C,1
25.2G,13
29.13,2
36.6C,4
17.7C,20
60.2P,27
85.01,4
26.12Z,42
77.08,101
63.4B,5
71.2E,1
33.3Z,18
15.5C,3
28.6C,5
83.01,7
66.30Z,1151
10.13B,121
55.2C,35
01.21Z,29
92.11,3
55.20,1
13.91Z,6
18.07,2
95.22Z,97
45.4D,116
60.04,28
64.45,97
"",97
14.20Z,1
54.07,3
35.23Z,22
17.19,1
70.2B,532
55.5A,105
95.11,19
18.2D,23
71.2C,8
51.30,13
17.11Z,1
20.14Z,2
77.14,225
85.1G,896
33.11Z,30
41.08,2
92.1J,11
29.32Z,58
17.21B,7
89.07,8
97.11,2
17.3Z,4
60.3Z,1
59.05,1
29.5L,1
01.4A,511
01.3Z,3915
43.39Z,437
43.12B,95
22.29B,31
34.3Z,16
96.16,11
64.2D,1
10.52Z,7
25.1E,2
29.2L,1
37.02,1
55.20Z,854
87.01,143
02.10,2
93.12Z,3264
43.22B,518
69.22,18
03.20,27
94.11Z,375
43.29B,157
26.51B,44
72.11Z,51
25.2H,23
11.01,2
29.4A,3
17.5A,1
29.1F,1
43.32A,2401
46.42Z,238
01.2G,190
30.0A,1
46.35Z,4
65.1E,1
46.24Z,9
56.29B,309
00.10,176
28.1C,30
15.8M,3
44.42,2
58.10,2
00.30,2
58.12,57
25.62B,143
60.07,35
93.11Z,148
33.4A,4
59.12,16
85.3H,3
29.1C,1
29.31Z,1
58.06,35
46.22Z,32
74.1G,690
67.09,72
72.5Z,59
72.19Z,277
28.93Z,21
47.01,28
95.12,2
69.25,7
85.3E,3
74.30Z,907
57.11,24
51.1A,30
21.11,2
36.1G,129
79.11Z,302
70.1F,117
47.11B,673
38.32Z,218
47.11C,170
63.4A,37
84.30B,36
96.03Z,332
20.13B,9
01.64Z,1
27.33Z,7
47.61Z,157
92.3B,112
52.2P,87
57.02,129
46.66Z,65
52.2A,41
30.02,2
20.5C,4
24.4A,1
47.06,1
65.06,284
64.19Z,1320
45.2L,41
86.10,34
46.41Z,49
59.20Z,208
84.30A,69
30.30Z,2
53.04,4
51.8N,28
71.1Z,22
74.07,1
77.13,5
32.1D,6
26.6E,9
80.02,10
00.12,2
43.32C,119
32.1B,15
87.06,63
51.5H,11
71.4A,1
01.24Z,178
65.2E,131
55.70,113
13.92Z,186
21.07,8
23.63Z,83
59.13B,23
13.01,1
75.02,1
46.62Z,24
86.23Z,2269
02.20Z,111
57.07,26
49.39A,78
46.38B,189
51.8H,16
39.00Z,18
22.3E,2
55.4B,1238
03.21Z,323
37.00Z,77
84.06,4
36.6A,8
20.53Z,2
21.2C,3
22.2J,91
71.12A,131
46.17B,117
62.42,37
67.13,16
52.6E,792
41.07,18
86.08,40
29.5E,21
96.25,26
26.20Z,14
35.3B,4
25.03,2
32.91Z,2
97.22,286
47.74Z,276
10.85Z,79
55.11,2
26.7Z,80
21.2L,3
74.1J,2672
43.33Z,1039
68.32B,219
20.41Z,24
65.2A,4
73.07,3
51.4Q,24
45.5Z,1
15.9S,1
64.12,159
47.22Z,486
16.10B,48
74.20Z,1098
01.80,397
14.1A,49
67.1E,50
37.2Z,25
44.21,16
51.1C,7
24.2Z,3
17.2A,1
56.10A,4523
64.30Z,994
47.11D,402
51.3T,61
