activitePrincipaleUniteLegale,count
47.99A,7045
33.20A,348
45.20B,140
25.73B,34
58.19Z,131
48.04,9
71.3E,14
31.03Z,8
14.31Z,3
64.11,1388
70.3A,1466
61.10Z,130
87.30A,86
63.99Z,51
15.8P,15
95.13,2
45.3H,14
93.0A,25
34.2A,18
35.4A,1
55.3A,2794
65.12Z,717
01.56,165
46.45Z,131
45.1B,8
92.14,12
93.21,3
33.03,1
43.22A,2193
47.04,236
95.12Z,64
15.5A,7
74.09,12
90.0E,4
71.1A,30
31.01Z,59
22.1E,50
32.2B,22
51.9B,17
24.01,4
25.62A,7
51.3Q,3
41.10A,799
67.05,109
64.40,93
16.01,14
26.2A,14
93.0D,851
89.05,6
58.01,15
92.13,11
02.10Z,178
60.2N,42
43.11Z,93
01.1F,29
11.01Z,28
14.39Z,16
25.91Z,2
73.08,2
01.44Z,1
52.3A,217
47.79Z,743
01.11Z,875
84.11,174
67.12,35
38.22Z,9
23.19Z,50
00.97,22
28.30Z,24
01.60,5
65.02,247
49.41A,864
77.01,225
46.23Z,123
21.09,8
99.00Z,11
23.99Z,35
28.15,16
44.22,2
24.3Z,10
17.12,1
23.01,2
29.4C,2
09.90Z,2
24.06,1
95.29Z,750
92.3A,620
52.4Z,647
43.99A,509
47.65Z,151
64.23,147
46.36Z,36
44.20,2
85.02,3
44.18,8
60.01,26
44.23,2
90.13,5
25.2A,7
29.4B,1
64.49,639
85.1E,271
68.20A,13558
05.0A,231
55.40,329
51.3A,89
51.3J,83
01.50,38
14.2A,30
60.20B,10
60.11,5
45.3E,531
80.04,91
49.32Z,1632
46.46Z,265
60.2E,342
53.05,12
84.24Z,9
24.11,2
45.2J,293
55.60,1055
36.6E,54
52.22Z,52
55.31,25
73.09,2
45.2R,5
86.22A,419
64.1C,64
22.19Z,27
56.30Z,2228
80.30Z,61
15.8D,104
18.20Z,13
31.2B,2
85.10Z,6
32.99Z,323
36.2C,19
74.5A,90
72.2Z,162
15.8B,114
21.08,109
01.2E,48
46.11Z,92
92.15,6
82.04,2
95.24,1
49.01,135
52.21Z,213
36.00Z,117
29.1D,13
