activitePrincipaleUniteLegale,count
47.99A,2096
33.20A,87
45.20B,53
58.19Z,24
31.03Z,7
25.73B,9
48.04,1
87.30A,23
64.11,423
70.3A,194
61.10Z,31
63.99Z,4
34.2A,9
35.4A,2
93.0A,4
15.8P,2
55.3A,613
65.12Z,210
01.56,24
92.14,1
46.45Z,25
45.1B,6
93.21,2
43.22A,532
47.04,145
95.12Z,10
90.0E,2
01.63Z,1
74.09,2
15.5A,3
31.01Z,22
71.1A,6
22.1E,8
25.62A,3
51.9B,3
41.10A,94
67.05,83
64.40,25
16.01,2
26.2A,3
93.0D,239
89.05,8
58.01,4
92.13,1
02.10Z,139
01.1F,19
11.01Z,16
01.44Z,5
73.08,1
43.11Z,8
14.39Z,10
60.2N,6
01.11Z,3452
00.97,93
84.11,37
47.79Z,193
28.30Z,27
52.3A,60
01.60,15
67.12,7
23.19Z,10
38.22Z,7
77.01,61
65.02,87
49.41A,353
21.09,4
26.4B,8
46.23Z,77
28.15,1
23.99Z,6
24.06,1
24.3Z,2
09.90Z,1
95.29Z,326
92.3A,115
64.23,64
52.4Z,197
60.01,38
47.65Z,29
43.99A,17
29.4B,2
90.13,3
46.36Z,10
25.2A,1
44.18,1
85.1E,39
68.20A,3792
55.40,149
01.50,58
64.49,171
51.3A,19
51.3J,33
14.2A,3
05.0A,2
49.32Z,265
60.2E,78
45.3E,215
53.05,6
46.46Z,22
18.1Z,2
80.04,1
90.0G,1
84.24Z,4
55.60,724
45.2J,45
36.6E,22
55.31,10
56.30Z,577
15.8D,33
80.30Z,10
86.22A,72
64.1C,6
75.04,1
22.19Z,1
18.20Z,6
32.99Z,98
74.5A,17
36.2C,2
01.2E,40
72.2Z,22
15.8B,20
21.08,34
46.11Z,19
82.04,2
49.01,76
29.1D,1
36.00Z,90
52.21Z,49
91.02,1
95.11Z,221
56.21Z,166
52.29A,36
17.29Z,11
45.2C,1
54.05,2
62.11,268
85.1C,242
20.4Z,12
23.49Z,2
30.99Z,1
50.2Z,256
47.77Z,62
46.49Z,107
64.11Z,1
58.05,3
64.44,10
92.3J,2
54.04,2
01.47Z,733
45.4J,266
47.52A,96
86.90C,3
78.20Z,152
80.2C,1
13.30Z,1
18.2G,7
55.13,1
11.07B,2
51.1G,7
77.32Z,44
73.20Z,15
81.22Z,115
52.4Y,22
52.4V,31
43.34Z,729
80.4D,66
88.99A,32
95.21Z,32
44.32,1
22.1G,2
93.19Z,437
81.29B,46
80.20Z,21
17.4A,3
28.10,1
36.4Z,1
21.02,1
92.5A,2
15.9J,1
79.02,21
52.4X,94
93.0N,136
25.61Z,29
92.5C,7
46.74A,18
47.02,10
72.20Z,6
11.04Z,4
42.91Z,5
49.20Z,2
54.08,8
17.5C,1
28.11Z,2
87.10A,83
64.20Z,1233
25.12Z,19
46.13Z,35
52.7H,34
20.1B,1
24.20Z,1
01.43Z,436
86.90E,1306
90.01Z,843
03.22Z,26
85.31Z,91
46.71Z,43
17.5G,2
52.29B,36
71.3G,19
74.3B,6
48.07,8
51.5C,3
58.08,1
77.10,55
82.20Z,65
38.11Z,29
46.73B,36
00.11,12
29.3C,43
71.20A,90
31.13,5
59.13,12
44.41,4
51.5A,4
43.32B,156
47.82Z,319
01.07,59
17.12Z,3
80.4C,47
40.1Z,2
94.91Z,96
77.12Z,37
47.75Z,68
51.8P,16
38.31Z,14
42.22Z,33
94.92Z,13
52.2G,14
15.4C,1
15.8T,1
15.07,2
52.4R,100
56.10C,754
33.20C,14
74.10Z,297
74.90A,98
88.04,2
01.16,5
54.02,6
32.03,1
43.91A,117
82.11Z,150
87.20A,17
22.3C,2
10.32Z,8
51.8L,6
60.20A,3
06.01,1
55.4C,9
93.13Z,27
46.44Z,17
81.30Z,493
64.41,62
10.73Z,6
86.10Z,135
49.05,37
28.5A,9
45.4L,12
20.16Z,1
25.72Z,6
58.07,1
84.11Z,2316
50.4Z,30
64.42,47
29.3D,14
01.4B,39
42.21Z,12
43.99B,27
59.11,12
28.21Z,4
92.2F,1
22.23Z,26
80.2A,11
20.42Z,10
27.4F,2
52.1F,1
50.1Z,170
63.3Z,22
46.12B,13
36.5Z,3
52.7C,20
