categorieJuridiqueUniteLegale,count
3210,22
7362,136
2110,2173
6558,2
7378,2
2700,13
3200,1
7364,135
5543,1
2200,987
5498,28211
7353,117
5306,227
6300,18
5458,94
5546,5
5520,2
7160,15
9221,12
6538,5
6571,79
6533,151
4130,374
7343,12
8110,91
7351,25
2100,46
8490,24
2385,25
5599,9038
5553,6
9110,7228
5632,4
5515,100
6100,6
7490,11
5615,5
7323,1
8150,1
8290,3
5192,61
5510,193
7300,1
6568,14
9300,90
5308,130
8160,3
6567,2
3110,7
4150,31
6577,8
5499,144067
5432,2
7171,70
7379,1
5660,11
2210,2619
6573,72
5669,2
6210,41
6536,33
8200,14
4160,2
7382,2
7321,181
6200,35
9220,23588
8420,73
5699,757
2300,41
4140,68
7373,1
6500,701
5307,2
2900,1689
5191,3
8170,2
6317,74
5710,28967
5770,51
5453,8
5651,1
6575,31
5400,731
5194,15
7385,32
7361,303
1000,377714
7363,4
5551,9
7348,17
9240,27
7220,121
5658,7
7345,83
5532,5
7450,1
5203,2
5555,2
9230,240
6901,7
6572,36
7356,2
8410,96
7354,31
9200,3
7179,20
5558,22
9260,19
3220,7534
6220,606
6565,79
7383,75
6537,39
4110,10
5720,20892
6574,39
5300,8
5200,191
7120,6
6599,26887
6578,23
5552,3
8450,36
7331,150
6589,1942
4100,20
7366,58
8250,29
6596,153
6318,2
9900,480
5410,15
8470,1
8140,5
6595,25
4120,89
7365,1
6411,101
9150,57
6562,11
6560,22
5585,16
7346,35
6542,44
5659,1
8210,367
6543,24
8120,9
5785,337
5560,103
7210,1322
5646,6
5530,5
5505,15
5451,2
5610,29
6511,8
6566,9
6598,142
5460,50
7355,50
7389,162
5470,94
5385,7
6561,139
7314,1
5685,6
7410,13
5202,5116
6569,4
2120,48
2220,110
5531,1
3100,1
6532,9
6585,167
7520,33
5605,2
6539,13
6316,44
5547,6
6540,55528
9222,3
5800,11
9224,21
2320,9
5459,4
7381,57
5559,1
7510,73
5485,1734
5500,183
7344,11
8510,4
8311,30
6564,50
5625,1
7384,9
6597,126
9210,127
6563,1
3290,234
6541,3682
7172,407
2310,47
8130,43
7371,5
6535,8
7372,28
9970,2
7322,6
8400,3
5309,1
8310,84
9223,8
5570,1
6534,105
6576,48
7470,3
3120,1315
7340,1
