categorieJuridiqueUniteLegale,count
2110,1167
7362,202
2700,70
7364,114
5543,1
7353,310
2200,264
5498,10433
5306,36
6300,8
5458,76
5546,3
7160,2
9221,6
6538,14
6571,24
6533,2164
5193,14
4130,375
8110,26
7351,22
8490,12
2385,20
2100,20
5654,1
5599,2189
5553,12
9110,421
5632,1
5515,22
6100,13
7490,1
7323,93
5195,1
5192,40
5510,154
9300,35
5308,39
8160,2
5443,1
3110,4
4150,8
6577,2
5499,23948
7171,39
7379,15
5432,17
5660,4
2210,1281
6573,95
6536,103
6210,1
8200,6
4160,2
7321,148
6200,36
9220,12694
5196,63
8420,38
5699,144
2300,4
4140,27
7312,2
6500,58
2900,145
5191,1
8170,7
6317,288
5710,6201
5453,13
5770,10
6575,9
5400,48
7385,12
5194,31
7361,658
5554,18
1000,133687
7363,2
7348,118
5551,17
9240,17
7220,34
5658,2
7345,69
5532,76
9230,102
6901,32
6572,17
8410,36
7354,82
7179,14
5558,46
9260,6
3220,100
6565,61
6220,248
7383,13
4110,1
5720,2933
6574,22
5200,23
7120,11
6599,2367
6578,7
5552,4
8450,20
7331,94
6589,729
7366,61
8250,228
4100,34
5100,1
6596,184
6318,23
9900,91
5410,1
8470,3
8140,4
6595,130
4120,55
7365,1
6411,42
9150,12
7230,1
6560,20
7346,332
6542,15
8210,123
5785,58
8120,2
6543,3
7210,2396
5560,151
5505,1
5530,1
5610,1
6551,3
6511,4
6566,1
6598,3885
5460,37
7355,56
7389,67
5470,67
6561,49
5622,1
5685,2
7410,20
5202,883
2120,18
2220,36
6532,7
7130,1
6585,33
7520,6
6539,3
6316,552
5547,1
6540,18023
9222,28
5800,4
2320,2
7381,34
5559,4
7510,76
5485,554
5500,20
8311,18
6564,15
7384,2
6597,870
9210,14
3290,8
6541,1062
7172,350
8130,4
2310,23
6535,5
9970,6
7372,11
7322,5
8310,56
7367,69
7357,5
9223,370
6534,428
6576,23
7470,8
3120,622
