categorieJuridiqueUniteLegale,count
2110,390
7362,57
2700,47
7378,1
7364,82
5498,5288
7353,247
2200,101
5306,35
6300,5
5458,20
5546,4
5520,6
7160,1
6538,21
9221,17
6571,5
6533,399
4130,254
8110,42
7351,41
2100,19
8490,13
2385,11
5599,2605
5553,2
9110,340
5515,39
6100,7
5615,2
7323,92
8290,5
5192,36
5510,88
5308,52
9300,33
8160,5
6567,1
3110,2
4150,8
6577,2
5499,19065
7171,28
5432,1
7379,3
5660,63
6573,30
2210,384
6536,91
8200,44
6210,4
4160,2
6200,20
7321,73
9220,7925
8420,45
4140,16
5699,124
2300,4
7312,21
6500,35
6521,1
2900,297
5191,3
8170,6
6317,298
5710,6363
5453,11
5770,10
6575,2
5400,63
7385,7
5194,2
7361,526
1000,74898
7363,4
7348,42
5551,9
9240,12
7220,81
7345,135
7450,4
5532,5
9230,86
6901,1
6572,9
7354,143
8410,48
9200,6
7179,7
5558,23
9260,4
6220,150
3220,102
6565,46
7383,7
4110,2
5720,3450
6574,3
5300,2
5200,21
7120,6
6599,2473
7229,3
6578,9
8450,13
7331,73
6589,306
7366,54
8250,10
4100,1
6596,105
6318,19
9900,105
8470,1
5410,3
8140,4
6595,169
5620,1
6411,41
4120,110
9150,12
7346,117
5585,2
6542,5
8210,96
5785,25
8120,5
7210,1741
5560,9
5646,1
5530,1
5610,6
6511,8
6566,4
5455,4
6598,1717
7355,21
5460,8
7389,56
5470,36
5385,10
6561,59
7314,1
7410,18
5202,778
6569,2
2120,12
2220,8
6532,8
7130,1
7520,7
6585,11
6539,5
6316,183
6540,11065
9222,23
5800,4
9224,2
9100,8
7381,19
7510,46
5500,50
5485,285
8311,30
6564,12
7384,3
6597,794
9210,9
5548,1
3290,4
6541,278
7172,225
2310,9
8130,5
7372,7
9970,2
7371,2
6535,2
7322,3
8400,4
8310,39
7367,3
7357,1
9223,257
6534,507
6576,13
7470,5
3120,77
