categorieJuridiqueUniteLegale,count
3210,7
7362,235
2110,942
6558,3
2700,101
7378,5
7364,248
7353,358
5498,21124
2200,210
5306,130
5426,1
6300,4
5458,53
5546,5
5520,2
7160,21
9221,16
6538,10
6571,31
6533,48
4130,400
5415,2
7343,4
8110,21
7351,19
8490,6
2100,22
2385,15
5599,11372
5553,1
9110,3234
5515,203
6100,100
7490,8
5615,2
7323,71
8290,1
5192,116
5510,249
6568,3
9300,84
5308,141
8160,2
5443,1
3110,2
4150,10
6577,6
5499,100861
7379,6
7171,61
5432,1
5660,48
2210,1134
6573,47
5669,4
6536,131
6210,21
8200,2
4160,3
7321,64
6200,18
9220,20723
8420,31
5699,554
2300,23
4140,30
6500,75
6521,27
2900,723
5191,4
8170,16
6317,43
5710,31044
5770,16
5453,7
6575,21
5630,1
5400,15
5194,28
7385,29
7361,370
1000,227982
7363,2
7348,40
5551,17
9240,29
7220,57
7345,80
7450,29
5532,1
5203,1
9230,285
6901,1
6572,29
7356,1
7354,122
8410,66
7179,24
5558,25
9260,4
6220,613
3220,1230
6565,58
7383,53
5542,1
4110,16
5720,21897
6574,10
5200,46
7120,7
6599,9552
6578,21
7229,15
8450,24
6589,1273
7331,214
7366,22
4100,3
5100,3
8250,6
6596,103
6318,7
9900,310
5410,47
8470,4
8140,1
6595,34
7113,1
4120,255
7365,8
6411,90
9150,75
6562,4
7230,1
6560,5
7346,42
5585,9
6542,28
8210,122
5785,241
6543,9
8120,6
7210,2254
5560,67
5646,3
5610,37
8100,1
6511,6
6566,10
5455,1
6598,404
5460,68
7355,25
7389,140
5385,8
5470,75
6561,83
5685,3
5422,1
7410,23
5202,2775
6569,6
2120,27
6554,1
2220,51
5531,1
6532,3
7130,2
6585,87
7520,2
5605,1
6539,9
6316,16
5547,4
6540,39544
9222,13
5800,10
9224,14
9100,2
2320,6
5459,1
5559,1
7381,58
3205,2
7510,12
5485,1252
5500,3
8510,2
5522,2
8311,97
6564,41
7384,12
6597,212
9210,59
5655,3
6563,23
3290,162
6541,1900
7172,462
8130,13
2310,20
6535,7
9970,5
7372,3
7371,3
7322,3
8400,3
8310,142
7367,6
9223,19
6534,228
6576,53
7470,10
3120,922
7340,1
