categorieJuridiqueUniteLegale,count
3210,1
2110,543
7362,139
2700,51
7378,1
7364,194
5543,1
7353,168
2200,153
5498,6965
5306,39
6300,26
5458,67
5546,1
7160,5
6538,49
9221,19
6571,23
6533,651
5642,1
4130,344
7343,18
8110,25
7351,18
2100,14
2385,6
8490,15
5599,1942
5553,7
9110,296
5632,1
5515,41
6100,6
5615,8
7490,2
7323,100
8290,1
5192,24
5510,115
6568,5
8160,5
5308,35
9300,18
6567,2
4150,9
6577,5
5499,16957
5432,5
7171,96
7379,6
5660,103
2210,680
6573,48
6210,2
6536,76
4160,5
7382,2
6200,35
7321,125
9220,11400
8420,60
5699,143
2300,6
4140,16
7373,3
7312,11
6500,84
6521,2
2900,182
5191,2
8170,7
6317,323
5710,5329
5453,21
5770,7
5651,49
6575,10
5400,47
7385,48
5194,37
7361,420
1000,83306
5551,6
7348,28
9240,8
7220,43
7345,49
7450,6
5532,11
9230,65
6572,2
8410,43
7354,27
7179,11
5558,43
9260,3
6220,218
3220,87
6565,48
7383,60
4110,19
5720,2652
6574,10
7120,13
5200,22
6599,1400
5552,5
6578,5
8450,53
6589,472
7331,85
4100,13
5100,1
7366,30
8250,10
6596,166
6318,100
9900,145
5410,39
8140,3
6595,38
4120,98
6411,51
7365,2
9150,15
7230,8
7112,1
6560,4
7346,211
5585,4
6542,22
5659,1
8210,120
5785,45
6543,10
8120,7
7210,1522
5560,45
5530,2
5610,4
8100,1
6511,14
6598,1595
7355,29
5460,29
7389,93
5470,28
6561,52
5685,3
7410,21
5202,749
2120,9
2220,7
6532,8
7130,2
6585,22
7520,1
6539,1
6316,293
6540,12790
9222,21
5800,7
9100,4
5459,2
2320,1
7381,47
7510,13
5485,318
5500,46
8311,22
6564,19
7384,7
6597,720
9210,6
6563,9
3290,6
6541,484
7172,286
2310,13
8130,3
7372,4
6535,4
9970,5
7371,1
7322,1
8400,6
8310,40
7367,12
9223,101
7100,2
6534,482
6576,31
7470,8
3120,81
