categorieJuridiqueUniteLegale,count
2110,383
7362,189
2700,15
7364,90
5498,3954
7353,241
2200,96
5306,18
6300,2
5458,47
5546,4
7160,2
9221,19
6538,17
6571,3
6533,528
4130,287
8110,30
7351,11
2385,5
2100,2
8490,3
5599,1913
9110,188
5515,20
6100,7
7323,422
5192,2
5510,93
9300,19
5308,48
6567,1
6577,5
4150,4
5499,14757
7379,5
7171,42
5432,3
5660,89
2210,404
6573,10
6536,128
8200,8
6210,4
4160,4
7321,60
6200,11
9220,7778
8420,35
5699,130
4140,7
2300,4
7312,32
7373,1
6500,22
2900,160
5191,3
8170,6
6317,203
5710,4701
5453,17
5770,6
6575,5
5400,7
7385,13
5194,13
7361,491
1000,67550
7363,1
5551,10
7348,33
9240,7
7220,26
5532,14
7345,61
7450,3
9230,94
6572,20
7356,5
8410,18
9200,1
7354,50
7179,11
5558,16
9260,2
3220,62
6220,162
6565,30
7383,6
4110,5
5720,2485
6574,18
7120,9
5200,4
6599,1166
7229,10
6578,1
8450,19
7366,71
6589,319
7331,67
4100,13
8250,1
5100,1
6318,15
6596,177
9900,53
5410,13
8140,2
6595,17
7342,2
4120,142
6411,30
7365,4
9150,13
6560,1
7346,170
5585,2
5442,8
6542,3
8210,139
5785,31
8120,4
6543,2
7210,1823
5560,69
5646,1
5610,4
6511,4
5455,2
6598,1569
5460,7
7355,11
7389,56
5470,17
6561,36
5685,11
7410,6
5202,612
2120,7
2220,1
6532,6
7520,15
6585,12
6539,2
6316,250
6540,11426
9222,17
5800,6
9100,8
9224,1
2320,2
7381,29
7510,235
5485,233
5500,3
8311,10
6564,13
7384,4
6597,734
9210,4
3290,3
6541,89
7172,216
2310,15
8130,2
6535,2
7372,1
7371,1
7322,1
8400,1
8310,32
7367,2
7357,8
9223,77
6534,612
6576,16
7470,8
3120,51
